SearchQuery,URL,Score,Position,Title,Description,CreatedAt
ВС России продолжают продвижение,https://www.youtube.com/watch?v=8KQ8SJ6bmGQ,1,1,Продвижение российских войск по территории Украины ...,"Продвижение российских войск по территории Украины, воздушная тревога в Киеве, ответные санкции РФ · https://www.youtube.com/user/tvrbcnew... · # ...Липсващи:",1646349132
ВС России продолжают продвижение,https://www.aa.com.tr/ru/info/%D0%B8%D0%BD%D1%84%D0%BE%D0%B3%D1%80%D0%B0%D1%84%D0%B8%D0%BA%D0%B0/27121,2,2,Diğer infografikler - Агентство Анадолу,ВС России продолжают продвижение в Украине. 01.03.2022. ВС России продолжают продвижение в Украине. Diğer infografikler. ВС России продолжают продвижение в ...,1646349132
ВС России продолжают продвижение,https://www.vedomosti.ru/politics/articles/2022/02/27/911181-spetsoperatsiya-rossiiskih-voisk,3,3,Спецоперация российских войск на Украине. День четвертый,преди 4 дни —,1646349132
ВС России продолжают продвижение,https://tass.ru/armiya-i-opk/13872433,4,4,Минобороны России сообщило о поражении 821 объекта ...,преди 6 дни —,1646349132
ВС России продолжают продвижение,https://ru.krymr.com/a/news-ukraina-genshtab-perekhvat-initsiativy-rossiyskiye-voyska/31732155.html,5,5,Генштаб Украины заявил о «перехвате инициативы - Крым ...,преди 1 ден —,1646349132
ВС России продолжают продвижение,https://www.m24.ru/videos/bezopasnost/26022022/434753,6,6,Воинские подразделения ДНР и ЛНР продолжают ...,преди 6 дни —,1646349132
ВС России продолжают продвижение,https://www.vesti.ru/article/2683930,7,7,"Украинские военные убили четырех жителей ДНР, более 30",преди 2 дни —,1646349132
ВС России продолжают продвижение,https://www.interfax.ru/world/825665,8,8,Минобороны РФ сообщило о развитии наступления сил ...,преди 2 дни —,1646349132
ВС России продолжают продвижение,https://www.rbc.ru/politics/27/02/2022/621a39ba9a79472784f029d4,9,9,Какие места на Украине взяли под контроль российские ...,преди 5 дни —,1646349132
ВС России продолжают продвижение,https://ria.ru/20220303/mariupol-1776183184.html,10,10,Подразделения ДНР сузили кольцо вокруг Мариуполя ...,преди 16 часа —,1646349132
ВС России продолжают продвижение,https://rg.ru/2022/03/02/specialnaia-voennaia-operaciia-po-zashchite-dnr-i-lnr-den-sedmoj-onlajn.html,11,11,Специальная военная операция по защите ДНР и ЛНР ...,преди 1 ден —,1646349132
ВС России продолжают продвижение,https://echo.msk.ru/news/2986653-echo.html,12,12,Продвижение российской армии по территории Украины ...,преди 5 дни —,1646349132
ВС России продолжают продвижение,https://orenburg.media/?p=122769,13,13,Российская армия взяла под контроль Геническ и ...,преди 5 дни —,1646349132
ВС России продолжают продвижение,https://netpeak.net/ru/kz/,14,14,Netpeak Казахстан - агентство интернет маркетинга ...,"Агентство интернет маркетинг Netpeak — продвижение, раскрутка сайтов в Казахстане ☑Опыт эффективного продвижения сайтов с 2006 года.",1646349132
ВС России продолжают продвижение,https://nv.ua/ukraine/politics/minoborony-velikobritanii-nastuplenie-rf-poshlo-ne-po-planu-novosti-ukrainy-50220794.html,15,15,наступление РФ пошло не по плану — новости Украины / НВ,преди 4 дни —,1646349132
ВС России продолжают продвижение,https://www.kommersant.ru/doc/2623525?replyto=174837991?replyto=174837991,16,16,Россия рассчитывает на продвижение по вопросу ...,преди 12 часа —,1646349132
ВС России продолжают продвижение,https://www.radiosvoboda.org/a/archive-war-/31733716.html,17,17,Архив. Оборона городов. Действия армии. Потери России,преди 15 часа —,1646349132
ВС России продолжают продвижение,http://www.pravda.com.ua/rus/news/2022/03/3/7327666/,18,18,Возле Баловного ВСУ уничтожили вражеский десант,преди 18 часа —,1646349132
ВС России продолжают продвижение,https://life.ru/p/1474572,19,19,Песков: Войска РФ продолжают продвижение по плану ...,преди 5 дни —,1646349132
ВС России продолжают продвижение,https://www.1tv.ru/news/2022-03-03/422531-uchastniki_voennoy_spetsoperatsii_vse_chasche_stalkivayutsya_s_inostrannymi_naemnikami_na_ukraine,20,20,Участники военной спецоперации все чаще сталкиваются ...,преди 4 часа —,1646349132
ВС России продолжают продвижение,https://regnum.ru/news/3522147.html,21,21,Пушилин: в ДНР освободили 39 населенных пунктов - ИА ...,"Москва, 2 марта 2022, 18:43 — REGNUM Подразделения вооруженных сил Донецкой Народной Республики (ДНР) продолжают освобождение территорий своей страны.",1646349132
ВС России продолжают продвижение,https://t.me/s/BritishEmbSpokesperson,22,22,Посольство Великобритании в Москве,22.02.2022 г. —,1646349132
ВС России продолжают продвижение,https://rossaprimavera.ru/news/8ac3dbf8,23,23,В Минобороны РФ отчитались о ходе военной ...,преди 15 часа —,1646349132
ВС России продолжают продвижение,https://www.trinet.ru/,24,24,Создание и продвижение сайтов в Санкт-Петербурге ...,"Услуги комплексного интернет-маркетинга от «TRINET.Group». Создание, продвижение, поддержка любых сайтов. Оказываем услуги по ведению контекстной рекламы и ...",1646349132
ВС России продолжают продвижение,https://www.fontanka.ru/2022/02/26/70472942/,25,25,"Песков: Украина отказалась от переговоров, и военная ...",преди 5 дни —,1646349132
ВС России продолжают продвижение,https://nsn.fm/ukraine/minoborony-rf-soobschilo-o-vzyatii-ryada-naselennyh-punktov-na-ukraine,26,26,Минобороны РФ заявило об освобождении Балаклеи от ...,преди 16 часа —,1646349132
ВС России продолжают продвижение,https://novayagazeta.ru/articles/2022/02/26/tretii-den-spetsoperatsii-kratkie-itogi,27,27,Третий день «спецоперации». Краткие итоги - Новая Газета,преди 5 дни —,1646349132
