SearchQuery,URL,Score,Position,Title,Description,CreatedAt
Действия Путина послужат жестким предупреждением странам НАТО,https://inosmi.ru/20220227/ukraina-253217561.html,1,1,Newsweek (США): Путин не проиграл ни одной войны,преди 4 дни —,1646349135
Действия Путина послужат жестким предупреждением странам НАТО,https://www.dw.com/bg/%D0%B3%D0%B5%D1%80%D0%BC%D0%B0%D0%BD%D1%81%D0%BA%D0%B8-%D0%B5%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82-%D0%BF%D1%83%D1%82%D0%B8%D0%BD-%D0%BD%D0%B5-%D1%81%D0%B5-%D1%81%D1%82%D1%80%D0%B0%D1%85%D1%83%D0%B2%D0%B0-%D0%BE%D1%82-%D0%BD%D0%B0%D1%82%D0%BE/a-60932483,2,2,Германски експерт: ″Путин не се страхува от НАТО - DW″Путин измества границите към Полша″ | Новини и ... - DW,преди 5 дни — Липсващи:преди 6 дни —,1646349135
Действия Путина послужат жестким предупреждением странам НАТО,https://www.svobodnaevropa.bg/a/31721041.html,3,3,Как Путин обясни нападението срещу Украйна с гняв ...НАТО или ЕС. От кого всъщност се страхува Путин,преди 8 дни — Липсващи:14.02.2022 г. —,1646349135
Действия Путина послужат жестким предупреждением странам НАТО,https://russian.rt.com/inotv/2022-03-01/Newsweek-Putin-vsegda-pobezhdal-i,4,4,"Newsweek: Путин всегда побеждал, и Украина не станет ...",преди 3 дни —,1646349135
Действия Путина послужат жестким предупреждением странам НАТО,http://m.focus-news.net/?action=news&id=2916936,5,5,Владимир Путин: Действията на Запада в Черно море ...,18.11.2021 г. — Липсващи:,1646349135
Действия Путина послужат жестким предупреждением странам НАТО,https://www.investor.bg/centralna-i-iztochna-evropa/335/a/kak-putin-opravda-deistviiata-si-v-ukraina--cialoto-mu-obryshtenie-346714/,6,6,Как Путин оправда действията си в Украйна – цялото му ...,преди 7 дни — Липсващи:,1646349135
Действия Путина послужат жестким предупреждением странам НАТО,https://www.osce.org/files/f/documents/4/1/448453.pdf,7,7,Untitled - OSCE,"концепций помощи странам региона и проведение необходи- мых изменений. ... стран ШОС и НАТО, что существует возможность партнерства.",1646349135
Действия Путина послужат жестким предупреждением странам НАТО,https://carnegieendowment.org/files/Russia2020_Russ_web_full.pdf,8,8,Untitled - Carnegie Endowment for International Peace,"странам, которые располагали ресурсами, необходимыми для успеш- ... димира Путина упор был сделан на союз с США и НАТО под флагом.",1646349135
Действия Путина послужат жестким предупреждением странам НАТО,https://www.sipri.org/sites/default/files/sipri-yearbook-2013-in-russian.pdf,9,9,"Ежегодник СИПРИ 2013. Вооружения, разоружение и ... - SIPRIЕжегодник СИПРИ 2017 - SIPRI","НАТО и будущая повестка дня в области контроля над вооружениями ...390 ... насилия со стороны конкурирующих субъектов можно привести действия.хранить власть, вместе с тем послужили новым поводом для неудобных во- просов, которыми осложняется вступление Турции в НАТО и ее отношения.",1646349135
Действия Путина послужат жестким предупреждением странам НАТО,https://heritage-institute.ru/wp-content/uploads/2019/05/obraz-rossii-v-turtsii.pdf,10,10,Образ России в Турции. Историческое развитие и современное ...,"Результат В. В. Путина в 2018 году, несомненно, был бы намного выше. ... христианами против турок-мусульман», членство Турции в НАТО, союз Турции с США, ...",1646349135
Действия Путина послужат жестким предупреждением странам НАТО,https://dariknews.bg/novini/sviat/nato-ne-izkliuchva-vyzmozhnostta-za-pylnomashtabna-vojna-zaradi-dejstviiata-na-rusiia-2301365,11,11,НАТО не изключва възможността за пълномащабна война ...,22.02.2022 г. — Липсващи:,1646349135
Действия Путина послужат жестким предупреждением странам НАТО,http://duma.gov.ru/media/files/lr89snn5YCUAk8wf1ZuMAQIRpLBTqifW.pdf,12,12,Стенограмма заседаний - Государственная Дума,"Путина — на всякий случай, если вдруг случится второй тур. Заодно это должно стать символом ... чае сможем им оказать, как и другим странам, или после заяв.",1646349135
Действия Путина послужат жестким предупреждением странам НАТО,https://www.imemo.ru/files/File/ru/publ/2018/2018_31.pdf,13,13,Безопасность и контроль над вооружениями 2017 ... - ИМЭМО РАН,"ние, что союзники по НАТО и партнеры в Евросоюзе пользуются ... России Владимир Путин заявил: «Ядерное оружие является факто- ром сдерживания и фактором ...",1646349135
Действия Путина послужат жестким предупреждением странам НАТО,http://aevis.ru/upload/ckeditor/files/Evropa%20problemy%20integracii%20i%20razvitiya.%20Tom_2-2.pdf,14,14,Европа: Проблемы интеграции и развития - Ассоциация ...,"действия различных правовых систем, длительное время определялись границами. Оттоманской империи. ... принятие данной страны в Совет Европы и в НАТО.",1646349135
