SearchQuery,URL,Score,Position,Title,Description,CreatedAt
дружественное России правительство,https://tass.ru/politika/13869135,1,1,Чижов: на Украине в будущем может быть создано ... - ТАСС,преди 6 дни —,1646349136
дружественное России правительство,http://government.ru/news/29985/,2,2,Новости - Правительство России,1.11.2017 г. —,1646349136
дружественное России правительство,http://www.consultant.ru/document/cons_doc_LAW_175059/2f255855811668937da07b0e587c7b3ddf5b4802/,3,3,"III. Здравоохранение, дружественное к детям, и здоровый ...Распоряжение Правительства РФ от 05.02.2015 N 167-р ...","июль 2016 г. Росстат,. Минздрав России. 40. Реализация Программы развития перинатальных центров в Российской Федерации, утвержденной распоряжением Правительства ...5.02.2015 г. —",1646349136
дружественное России правительство,https://www.gazeta.ru/politics/news/2022/02/27/17351833.shtml,4,4,"В США признали, что Путин «никогда не проигрывал войны",преди 5 дни —,1646349136
дружественное России правительство,https://www.golosameriki.com/a/ukraine-crisis-what-we-know/6408881.html,5,5,Украинский кризис: ситуация на сегодня - Голос АмерикиVOAэкспресс 23 января 2022 - Голос Америки,23.01.2022 г. — 23.01.2022 г. —,1646349136
дружественное России правительство,https://ria.ru/20220227/ukraina-1775323215.html,6,6,"Newsweek об операции на Украине: Путин никогда не ...США не считают, что Асад победил и что России стоит его ...",преди 5 дни — 3.03.2020 г. —,1646349136
дружественное России правительство,https://1prime.ru/state_regulation/20220227/836188848.html,7,7,"Американский журнал напомнил, что ""Путин никогда не ...",преди 5 дни —,1646349136
дружественное России правительство,https://regnum.ru/news/3518402.html,8,8,Путин не проиграл еще ни одной войны — Newsweek - ИА ...,преди 5 дни —,1646349136
дружественное России правительство,https://www.mos.ru/dvms/documents/materialy_smi/view/225397220/,9,9,Сближение Европы и России обсудили на II российско ...,29.04.2019 г. —,1646349136
дружественное России правительство,https://russian.rt.com/inotv/2022-03-01/Newsweek-Putin-vsegda-pobezhdal-i,10,10,"Newsweek: Путин всегда побеждал, и Украина не станет ...Россия — ИноТВ Теги - RT",преди 3 дни — Россия. Март 2022. Громкое молчание Индии: Independent об отказе Моди осуждать ... в результате чего там появится дружественное России правительство и Путин ...,1646349136
дружественное России правительство,https://www.mfa.gov.cn/ce/cerus//rus/xwdt/t80284.htm,11,11,Россия твердо выступает против независимости Тайваня в ...,"Россия твердо выступает против независимости Тайваня в какой-либо форме и его ... Правительство и народ Китая рады успехам, достигнутым Россией.",1646349136
дружественное России правительство,http://www.embapanamarusia.ru/index.php/ru/,12,12,ГЛАВНАЯ - Embajada de Panamá en la Federación Rusa,"... ищущих дружественное, комфортное, безопасное, экономичное и красивое место. Посольство Панамы приветствует всех, особенно граждан Панамы, проживающих в ...",1646349136
