SearchQuery,URL,Score,Position,Title,Description,CreatedAt
Киев окружён,https://www.youtube.com/watch?v=71xVQQlDMwA,1,1,Киев ОКРУЖЁН! Новое заявление Лукашенко о ситуации ...,"Киев ОКРУЖЁН! Новое заявление Лукашенко о ситуации на Украине! 2,957,687 views2.9M views. Feb 27, 2022. 64K. Dislike. Share. Save.",1646349137
Киев окружён,https://www.youtube.com/watch?v=T7E2ZlauJfU,2,2,Переговоры о капитуляции | Спецоперация на Украине,"⚡️Срочно | Киев окружён | Переговоры о капитуляции | Спецоперация на Украине | Спецэфир. 8,030,247 views • Streamed live on Feb 27, ...",1646349137
Киев окружён,https://www.youtube.com/watch?v=WJ9ZrDWgYn0,3,3,Киев окружён. Война за Украину скоро закончится?!!,преди 4 дни —,1646349137
Киев окружён,https://www.youtube.com/watch?v=82w898itfgg,4,4,"Киев ОКРУЖЁН, бежать некуда. КЛИЧКО цитируют и ...",преди 4 дни —,1646349137
Киев окружён,https://www.dw.com/ru/mjer-kieva-klichko-oproverg-informaciju-o-tom-chto-gorod-okruzhen/a-60931863,5,5,"Мэр Киева Кличко опроверг информацию о том, что ... - DW",преди 4 дни —,1646349137
Киев окружён,https://ya62.ru/news/politics/klichko_kiev_okruzhen_my_ne_mozhem_evakuirovat_zhiteley/,6,6,"Кличко: Киев окружен, мы не можем эвакуировать жителей",преди 4 дни —,1646349137
Киев окружён,https://focus.ua/voennye-novosti/507972-kiev-okruzhen-my-ne-mozhem-evakuirovat-zhiteley-vitaliy-klichko,7,7,"«Киев окружен, мы не можем эвакуировать жителей ...",преди 4 дни —,1646349137
Киев окружён,https://meduza.io/news/2022/02/27/vitaliy-klichko-kiev-okruzhen-my-ne-mozhem-evakuirovat-zhiteley,8,8,"Виталий Кличко: Киев окружен, мы не можем эвакуировать ...",преди 4 дни —,1646349137
Киев окружён,https://newtimes.ru/articles/detail/209543,9,9,Кличко: Киев окружен - The New Times,"27.02.2022. В городе разрушена инфраструктура для доставки еды и лекарств. Киев окружен, эвакуация жителей невозможна, заявил мэр города Виталий Кличко.",1646349137
Киев окружён,https://kyiv.tsn.ua/ru/spiker-klichko-informaciya-o-tom-chto-kiev-okruzhen-lozh-i-manipulyaciya-1991170.html,10,10,"Спикер Кличко: Информация о том, что Киев окружен - ТСН",преди 4 дни —,1646349137
Киев окружён,https://rus.lsm.lv/statja/novosti/mir/napadenie-rossii-na-ukrainu-kiev-derzhitsja-herson-okruzhen-v-harkove--boi-belarus-vozmozhno-vstupila-v-voynu.a445806/,11,11,"Нападение России на Украину. Киев держится, Херсон ...",преди 3 дни —,1646349137
Киев окружён,https://www.vesti.ru/article/2682814,12,12,"Кличко: Киев окружен, эвакуация жителей ... - Вести.Ру",преди 4 дни —,1646349137
Киев окружён,https://www.svoboda.org/a/vitaliy-klichko-kiev-okruzhyon-evakuatsiya-zhiteley-nevozmozhna/31726779.html,13,13,"Кличко: ""Киев находится на грани гуманитарной катастрофы""",преди 4 дни —,1646349137
Киев окружён,https://ru.armeniasputnik.am/20220227/klichko-zayavil-chto-kiev-okruzhen-39178194.html,14,14,"Кличко заявил, что Киев окружен - 27.02.2022, Sputnik ...",преди 4 дни —,1646349137
Киев окружён,https://www.unian.net/war/spiker-klichko-informaciya-o-tom-chto-kiev-okruzhen-lozh-i-manipulyaciya-novosti-kieva-11721223.html,15,15,"Информация о том, что Киев окружен, - ложь и манипуляция",преди 4 дни —,1646349137
Киев окружён,https://nv.ua/ukraine/events/voyna-v-ukraine-kiev-ne-okruzhen-rossiyskimi-voyskami-novosti-ukrainy-50220812.html,16,16,Война в Украине — Киев не окружен российскими войсками,преди 4 дни —,1646349137
