SearchQuery,URL,Score,Position,Title,Description,CreatedAt
"националисты ""Азова"" продолжают нападать на мирных жителей",https://tsargrad.tv/news/vsu-sdajutsja-azov-ubivaet-specoperacija-rossii-na-ukraine-prjamaja-transljacija_502594,1,1,"ВСУ сдаются, ""Азов"" убивает. Спецоперация России на ...",преди 5 дни —,1646349138
"националисты ""Азова"" продолжают нападать на мирных жителей",https://ru.wikipedia.org/wiki/%D0%92%D1%82%D0%BE%D1%80%D0%BE%D0%B5_%D0%BC%D0%B8%D0%BD%D1%81%D0%BA%D0%BE%D0%B5_%D1%81%D0%BE%D0%B3%D0%BB%D0%B0%D1%88%D0%B5%D0%BD%D0%B8%D0%B5,2,2,Второе минское соглашение - ВикипедияХронология вооружённого конфликта на востоке Украины,"В результате обстрелов были ранены 10 мирных жителей, разрушены дома, повреждено здание «Горводоканала» в Докучаевске. 26 июня Следственный комитет России ...Сообщалось о пострадавших среди мирных жителей. Работа городского транспорта была остановлена. В посёлках, расположенных на окраинах города, отмечались перебои ...",1646349138
"националисты ""Азова"" продолжают нападать на мирных жителей",https://dumskaya.net/wiki/konflikt-v-krymu/,3,3,"Российско-украинская война, Одесса - Думская",... дома: погибли 33 мирных жителя (обновлено). 3 марта: Главком: россияне хотят бросить на штурм Одессы мобилизованных жителей оккупированных территорий.,1646349138
"националисты ""Азова"" продолжают нападать на мирных жителей",https://www.rosguard.gov.ru/uploads/2019/12/pyatyj-ukrainskij-front-235236.pdf,4,4,Пятый Украинский фронт,"гласия государства и при его активном участии радикальные националисты ... жащих они нападали на мирных жителей, издевались над ними. «В населен-.",1646349138
"националисты ""Азова"" продолжают нападать на мирных жителей",https://vk.com/wall-50332460_2348593,5,5,"Они тут сидят, выламывают нам заборы,.. | ВКонтакте",преди 1 ден —,1646349138
"националисты ""Азова"" продолжают нападать на мирных жителей",https://cchgeu.ru/science/nauchnye-izdaniya/sotsialno-gumanitarnye-nauki/%D0%9F%D1%80%D0%BE%D0%B1%D0%BB%D0%B5%D0%BC%D1%8B%20%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D1%85%20%D0%B8%20%D0%B3%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80%D0%BD%D1%8B%D1%85%20%D0%BD%D0%B0%D1%83%D0%BA%20%E2%84%9623.pdf,6,6,Проблемы социальных и гуманитарных наук №2(23)-2020,то уникальное и продолжают идти по пути заимствований. Библиографический список ... В частности определить социальный состав жителей отдельных городов и.,1646349138
"националисты ""Азова"" продолжают нападать на мирных жителей",https://ivran.ru/f/Arhiv-Vostok-27-2013.pdf,7,7,Восточный архив - Институт востоковедения РАН,"равандийа, он возненавидел ее жителей, а ... арабы избегают нападать на караваны ка- раджадагских жителей. ... Азова» капитан 1 ранга А. Вирениус подпи-.",1646349138
"националисты ""Азова"" продолжают нападать на мирных жителей",http://www.ssc-ras.ru/ckfinder/userfiles/files/Krinko_Khlinina_Urushadze(1).pdf,8,8,"Т.П. Хлынина, Е.Ф. Кринко, А.Т. Урушадзе РОССИЙСКИЙ ...",предкавказские степи от Азова до Моздока. Он писал: «Оная линия прикрывает от ... ности жителей Кавказа вести эффективную хозяйственную и торговую деятель-.,1646349138
"националисты ""Азова"" продолжают нападать на мирных жителей",https://chtyvo.org.ua/authors/Shubin_Alieksandr/Istoriia_Ukrainy_ros.pdf,9,9,"і "" КК А ІN А","одно доказательство мирных намерений Олега, по традиции тол куемое в прямо противоположном ... формирование менталитета жителей пограничья стало одной.",1646349138
"националисты ""Азова"" продолжают нападать на мирных жителей",https://t.me/s/boris_rozhin?q=%23%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D1%8F,10,10,Сolonelcassad,преди 2 дни —,1646349138
