SearchQuery,URL,Score,Position,Title,Description,CreatedAt
применение ВСУ фосфорных боеприпасов,https://iz.ru/1298178/2022-02-28/onishchenko-nazval-posledstviia-primeneniia-vsu-fosfornykh-boepripasov,1,1,Онищенко назвал последствия применения ВСУ ...,преди 3 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://ria.ru/20220228/fosfor-1775577280.html,2,2,Онищенко о фосфорных боеприпасах украинских военныхВ Минобороны заявили о применении ВСУ фосфорных ...,преди 3 дни — преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://russian.rt.com/ussr/news/968811-vsu-ukraina-boepripasy,3,3,Глава СК России поручил расследовать применение ... - RT,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://www.youtube.com/watch?v=WFOVQf-CZFM,4,4,Глава СК России поручил расследовать ... - YouTube,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://www.youtube.com/watch?v=HQwuVzzfBM0,5,5,ВСУ используют фосфорные снаряды против российских ...,Минобороны сообщило об использовании ВСУ фосфорных снарядов против российских ... Применение данных боеприпасов запрещено третьим протоколом ...,1646349139
применение ВСУ фосфорных боеприпасов,https://ren.tv/news/v-mire/944758-glava-sk-poruchil-rassledovat-primenenie-vsu-fosfornykh-boepripasov,6,6,Глава СК поручил расследовать применение ВСУ ... - РЕН ТВ,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://aif.ru/politics/world/bastrykin_poruchil_rassledovat_fakty_primeneniya_vsu_fosfornyh_boepripasov,7,7,Бастрыкин поручил расследовать ... - Аргументы и Факты,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://slovodel.com/634731-voennye-gotovy-grazhdanskie-net-chem-opasno-primenenie-vsu-fosfornykh-boepripasov,8,8,нет: чем опасно применение ВСУ фосфорных боеприпасов,преди 3 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://punkt-a.info/news/glavnoe/minoborony-rf-obvinilo-vsu-v-ispolzovanii-zapreshchennykh-fosfornykh-boepripasov,9,9,Минобороны РФ обвинило ВСУ в применении ... - Пункт-А,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://books.google.bg/books?id=snGSl07UskEC&pg=PT68&lpg=PT68&dq=%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5+%D0%92%D0%A1%D0%A3+%D1%84%D0%BE%D1%81%D1%84%D0%BE%D1%80%D0%BD%D1%8B%D1%85+%D0%B1%D0%BE%D0%B5%D0%BF%D1%80%D0%B8%D0%BF%D0%B0%D1%81%D0%BE%D0%B2&source=bl&ots=AMCccif3qW&sig=ACfU3U3kPR6VZUGRhU6fkcU9zFjgfwhMIQ&hl=bg&sa=X&ved=2ahUKEwjlv9q8iKv2AhXhwosKHZ6ABNIQ6AF6BQikAhAD,10,10,Зеленые береты - Резултати от Google Книги,,1646349139
применение ВСУ фосфорных боеприпасов,https://books.google.bg/books?id=xEqcDgAAQBAJ&pg=PT143&lpg=PT143&dq=%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5+%D0%92%D0%A1%D0%A3+%D1%84%D0%BE%D1%81%D1%84%D0%BE%D1%80%D0%BD%D1%8B%D1%85+%D0%B1%D0%BE%D0%B5%D0%BF%D1%80%D0%B8%D0%BF%D0%B0%D1%81%D0%BE%D0%B2&source=bl&ots=4O75sk_MJ7&sig=ACfU3U3xXVrwqlrxfnwPRaFl1tkQMyHAbw&hl=bg&sa=X&ved=2ahUKEwjlv9q8iKv2AhXhwosKHZ6ABNIQ6AF6BQilAhAD,11,11,"Донбасс. От Славянска до Дебальцево. Хроники, записанные ...",,1646349139
применение ВСУ фосфорных боеприпасов,https://bel.ru/news/politics/01-03-2022/knutov-rasskazal-o-posledstviyah-primeneniya-fosfornyh-boepripasov-ukrainoy,12,12,Кнутов рассказал о последствиях применения фосфорных ...,преди 3 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://regnum.ru/news/3518822.html,13,13,В Минобороны России сообщили о применении ВСУ ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://nation-news.ru/692771-nastoyashee-prestuplenie-litovkin-osudil-primenenie-vsu-fosfornykh-boepripasov-protiv-naseleniya-ukrainy,14,14,Настоящее преступление: Литовкин осудил применение ...,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://www.rbc.ru/politics/27/02/2022/621b81159a7947810715254f,15,15,Минобороны заявило о применении ВСУ ... - RBC,преди 4 дни —,1646349139
применение ВСУ фосфорных боеприпасов,https://books.google.bg/books?id=5FivCQAAQBAJ&pg=PA4&lpg=PA4&dq=%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5+%D0%92%D0%A1%D0%A3+%D1%84%D0%BE%D1%81%D1%84%D0%BE%D1%80%D0%BD%D1%8B%D1%85+%D0%B1%D0%BE%D0%B5%D0%BF%D1%80%D0%B8%D0%BF%D0%B0%D1%81%D0%BE%D0%B2&source=bl&ots=Db8HxlxRIY&sig=ACfU3U0YUG5rKKtlx-8CPnezJl9jpklRlw&hl=bg&sa=X&ved=2ahUKEwjlv9q8iKv2AhXhwosKHZ6ABNIQ6AF6BQijAhAD,16,16,Комсомольская Правда. Москва 93-2014,,1646349139
применение ВСУ фосфорных боеприпасов,https://yandex.ru/news/instory/Glava_SK_Bastrykin_poruchil_rassledovat_fakty_primeneniya_VSU_zapreshhennykh_boepripasov--58839e6e893b4cab93b565bdc538b5b2?lr=87&content=alldocs&stid=UVDq6rOqHuEoWsjXPcVC&persistent_id=182412972&from=story,17,17,Глава СК России поручил расследовать ... - ЯндексГлава СК России поручил расследовать ... - Яндекс,"СК расследует факты использования ВСУ фосфорных боеприпасов под Киевом ... Российский Следственный комитет будет расследовать факты применения начиненных фосфором ...Глава СК России поручил расследовать применение ВСУ фосфорных боеприпасов. Александр Бастрыкин поручил следователям центрального аппарата СК ""зафиксировать ...",1646349139
применение ВСУ фосфорных боеприпасов,https://books.google.bg/books?id=Go2uCQAAQBAJ&pg=PA6&lpg=PA6&dq=%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5+%D0%92%D0%A1%D0%A3+%D1%84%D0%BE%D1%81%D1%84%D0%BE%D1%80%D0%BD%D1%8B%D1%85+%D0%B1%D0%BE%D0%B5%D0%BF%D1%80%D0%B8%D0%BF%D0%B0%D1%81%D0%BE%D0%B2&source=bl&ots=Fmsw2eL_tw&sig=ACfU3U3yAQeeeJ4ZpAZK8XKycyAKGCevsA&hl=bg&sa=X&ved=2ahUKEwjlv9q8iKv2AhXhwosKHZ6ABNIQ6AF6BQiiAhAD,18,18,Комсомольская Правда. Москва 12-2015,,1646349139
