SearchQuery,URL,Score,Position,Title,Description,CreatedAt
планомерное уничтожение жителей Донбасса,https://www.interfax.ru/world/825194,1,1,"Минобороны заявило, что Россия не начинала военные ...",преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://www.m24.ru/news/politika/28022022/435560,2,2,"Россия не начинала военные действия, она их завершает",преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://regnum.ru/news/3519690.html,3,3,"Россия войну не начинала, но она её закончит - ИА Regnum",преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://www.irk.ru/news/20220301/results/,4,4,Итоги военной операции России на Украине за 28 февраля,преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://twitter.com/ntvru/status/1498281640719749120/video/1,5,5,"НТВ on Twitter: ""«Военные действия со стороны режима в ...",преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://lenta.ru/news/2022/02/28/kiev/,6,6,В Минобороны заявили о конце угроз в адрес России со ...,преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://iz.ru/1298483/roman-kretcul-bogdan-stepovoi-anton-lavrov-andrei-fedorov/grom-s-nebes-kak-proshel-piatyi-den-voennoi-operatcii-rossii-v-donbasse,7,7,Вертолетная практика: как изменилась тактика российских ...,преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://www.9111.ru/questions/7777777771758330/,8,8,"""Военные действия со стороны режима в Киеве и ...",преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://riavrn.ru/news/minoborony-rf-v-specoperacii-prinimayut-uchastie-tolko-kontraktniki/,9,9,Минобороны РФ: в спецоперации принимают участие ...,преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://www.vesti.ru/article/2683196,10,10,"Американские военные планировали ""прописаться"" в Крыму",преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://realnoevremya.ru/articles/242672-minoborony-rossii-rossiya-ne-nachinala-voennye-deystviya,11,11,Минобороны: «Россия не начинала военные действия ...,преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://eadaily.com/ru/news/2022/02/28/nastuplenie-sil-lnr-i-dnr-prodolzhaetsya-minoborony,12,12,Наступление сил ЛНР и ДНР продолжается — Минобороны,преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://prooren.ru/news/rossiya-i-mir/v-minoborony-rf-zayavili-chto-v-specoperacii-na-ukraine-zadeystvovany-tolko,13,13,"В Минобороны РФ заявили, что в спецоперации на ...","Военные действия со стороны режима в Киеве и планомерное уничтожение жителей Донбасса шло восемь лет. В ходе это войны погибло более 14 тыс. человек, ...",1646349140
планомерное уничтожение жителей Донбасса,https://tass.ru/armiya-i-opk/13899009,14,14,"В Минобороны заявили, что в операции на Украине ... - ТАСС",преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://books.google.bg/books?id=qs2aBgAAQBAJ&pg=PA6&lpg=PA6&dq=%D0%BF%D0%BB%D0%B0%D0%BD%D0%BE%D0%BC%D0%B5%D1%80%D0%BD%D0%BE%D0%B5+%D1%83%D0%BD%D0%B8%D1%87%D1%82%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B6%D0%B8%D1%82%D0%B5%D0%BB%D0%B5%D0%B9+%D0%94%D0%BE%D0%BD%D0%B1%D0%B0%D1%81%D1%81%D0%B0&source=bl&ots=iMuDoFltng&sig=ACfU3U3JHPRGAD4GMeC3JWT1SfTJBI5lZw&hl=bg&sa=X&ved=2ahUKEwjAjZi9iKv2AhUwtYsKHcKFB6QQ6AF6BQj4ARAD,15,15,Аргументы и факты No06/2015,2017,1646349140
планомерное уничтожение жителей Донбасса,https://46tv.ru/odnoj-strokoj/v-rossii/163121-v-minoborony-zajavili-chto-rossija-ne-nachinala-voennye-dejstvija-na-ukraine-ona-ih-zavershaet.html,16,16,"В Минобороны заявили, что Россия не начинала ... - 46ТВ",преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://ren.tv/news/v-mire/945106-sily-dnr-zavershaiut-blokirovanie-mariupolia,17,17,Силы ДНР завершают блокирование Мариуполя - РЕН ТВ,преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://newprospect.ru/news/aktualno-segodnya/oon-o-poteryakh-sredi-mirnykh-zhiteley-ukrainy-102-ubitykh-v-tom-chisle-sem-detey/,18,18,"ООН о потерях среди мирных жителей Украины: ""102 ...",преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://www.4vsar.ru/news/minoborony-rossiya-ne-nachinala-voennye-160387/,19,19,Минобороны: Россия не начинала ... - Четвертая власть,преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://www.tvc.ru/news/show/id/234236,20,20,"Минобороны: Россия не начинала военные действия, она ...",преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://www.interfax-russia.ru/main/minoborony-rf-v-operacii-na-ukraine-zadeystvovany-tolko-oficery-i-kontraktniki,21,21,Минобороны РФ: в операции на Украине задействованы ...,преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://crimea-news.com/society/2022/02/28/896640.html,22,22,Минобороны: РФ положит конец угрозам в ее адрес со ...,преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://www.1tv.ru/news/2022-02-28/422173-pyatyy_den_spetsialnoy_operatsii_kotoruyu_rossiyskie_voennye_provodyat_na_ukraine,23,23,"Пятый день специальной операции, которую российские ...",преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://www.1obl.ru/news/politika/minoborony-rf-v-voennoy-operatsii-ot-rossiyskikh-vs-uchastvuyut-tolko-ofitsery-i-kontraktniki/,24,24,Минобороны РФ: в военной операции от российских ВС ...,"Он также отметил, что планомерное уничтожение жителей Донбасса шло 8 лет — в ходе этой войны погибло более 14 тысяч человек, сотни детей.",1646349140
планомерное уничтожение жителей Донбасса,https://tvzvezda.ru/news/20222281544-hIEbo.html,25,25,МО РФ: Россия не начинала военные действия на Украине ...,преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://rg.ru/2022/02/28/predstaviteli-rossii-i-ukrainy-dogovorilis-prodolzhit-peregovornyj-process.html,26,26,Представители России и Украины договорились ...,преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://www.aysor.am/ru/news/2022/02/28/%D0%9C%D0%B8%D0%BD%D0%BE%D0%B1%D0%BE%D1%80%D0%BE%D0%BD%D1%8B-%D0%A0%D0%A4/1934371,27,27,Минобороны РФ: Россия не начинала военные действия ...,преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://www.gazeta.ru/army/news/2022/02/28/17358385.shtml,28,28,"В Минобороны заявили, что Россия не ... - Газета.Ру",преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://fn-volga.ru/news/view/id/180978,29,29,"Россия не начинала военные действия, она их завершает",преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://m.facebook.com/775567763031957,30,30,ВестиКрым.рф - Донбасс вернётся в Россию как Крым ... - Facebook,"Ранее депутат Государственной Думы от Крыма Андрей Козенко сообщил о том, что власти Украины нацелены на планомерное уничтожение жителей Донбасса.",1646349140
планомерное уничтожение жителей Донбасса,https://www.bfm.ru/news/494087,31,31,Обстрел в Харькове и другие события военной хроники,преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://kuban.aif.ru/dontknows/chto_govoryat_eksperty_o_situacii_na_ukraine,32,32,Что говорят кубанские эксперты о ситуации с Украиной?,преди 8 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://t.me/s/rian_ru?before=149725,33,33,РИА Новости,"""Военные действия со стороны режима в Киеве и планомерное уничтожение жителей Донбасса шло 8 лет. В ходе этой войны, погибло более 14 тысяч человек, ...",1646349140
планомерное уничтожение жителей Донбасса,https://echo.msk.ru/blog/day_video/2987463-echo/,34,34,"Брифинг Минобороны РФ, вечер 28 февраля - Эхо Москвы",преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://newizv.ru/news/world/28-02-2022/v-minoborony-zayavili-chto-rossiya-ne-nachinala-voennyh-deystviy-ona-ih-zavershaet,35,35,"В Минобороны заявили, что Россия не начинала военных ...",преди 4 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://yandex.ru/news/instory/Minoborony_zayavilo_chto_Rossiya_ne_nachinala_voennye_dejstviya_ona_ikh_zavershaet--10ae6dda5f7bfda255be080672f00604?lr=87&content=alldocs&stid=n4axujtiHMfwVY1kK4Gf&persistent_id=182448772&from=story,36,36,Минобороны РФ: «Россия не начинала военные действия ...,"... Донбасса. По его словам, ""военные действия со стороны режима в Киеве"", а также ""планомерное уничтожение жителей Донбасса"" продолжались восемь лет.",1646349140
планомерное уничтожение жителей Донбасса,https://ukraina.ru/interview/20210404/1031030237.html,37,37,Козенко: Россия поддерживает и будет поддерживать ДНР ...,4.04.2021 г. —,1646349140
планомерное уничтожение жителей Донбасса,https://kubnews.ru/obshchestvo/2022/02/28/v-minoborony-zayavili-chto-v-spetsoperatsii-na-ukraine-prinimayut-uchastie-tolko-kontraktniki/,38,38,"В Минобороны заявили, что в спецоперации на Украине ...",преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://life.ru/p/1475078,39,39,Минобороны: Россия не начинала военные ... - Life.ru,преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://vesti-k.ru/tag/ubijstvo-rebyonka/,40,40,убийство ребёнка - Вести Крым,Власти Украины нацелены на планомерное уничтожение жителей Донбасса. Об этом на официальной странице в Facebook сообщил депутат Государственной Думы от ...,1646349140
планомерное уничтожение жителей Донбасса,https://don24.ru/rubric/obschestvo/nacisty-planirovali-genocid-mirnogo-naseleniya-zadolgo-do-napadeniya-na-sssr.html,41,41,Нацисты планировали геноцид мирного населения ...,21.02.2022 г. —,1646349140
планомерное уничтожение жителей Донбасса,https://www.trendsmap.com/twitter/tweet/1498281640719749120,42,42,НТВ's tweet - Trendsmap,«Военные действия со стороны режима в Киеве и планомерное уничтожение жителей Донбасса шли 8 лет. Этому было необходимо положить конец.,1646349140
планомерное уничтожение жителей Донбасса,https://prufy.ru/news/society/120496-rossiya_ne_nachinala_voennye_deystviya_minoborony_rossii_sdelalo_zayavlenie/,43,43,«Россия не начинала военные действия»: Минобороны ...,преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,http://pervoe.fm/news/item/116?PAGEN_1=5,44,44,RSS-новости - Первое радио,"Восемь лет идет планомерное уничтожение жителей Донбасса. Обстрелы не прекращаются, установлена экономическая блокада, обещанные обмены военнопленными ...",1646349140
планомерное уничтожение жителей Донбасса,https://kuban24.tv/item/v-krymu-vosstanovili-podachu-vody-iz-ukrainy,45,45,В Крыму восстановили подачу воды из Украины - Кубань 24,преди 8 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://tsargrad.tv/news/rossija-ne-nachinala-voennye-dejstvija-ona-ih-zavershaet-konashenkov_503476,46,46,"Россия не начинала военные действия, она их завершает",преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://bryansktoday.ru/article/181200,47,47,"Они говорят, что началась война против украинского народа",преди 3 дни —,1646349140
планомерное уничтожение жителей Донбасса,https://skr.su/news/18/2022-01-31/gornyy-vozduh-uvelichil-chasy-raboty-gory-krasnaya-329727,48,48,«Горный воздух» увеличил часы работы горы Красной,31.01.2022 г. —,1646349140
