SearchQuery,URL,Score,Position,Title,Description,CreatedAt
Обвинения НАТО в агрессии,https://lenta.ru/news/2022/02/26/obvineniya/,1,1,В МИД прокомментировали обвинения НАТО в адрес ...,преди 5 дни —,1646349141
Обвинения НАТО в агрессии,https://www.youtube.com/watch?v=qVM4et0Cz80,2,2,Москва считает безосновательными обвинения ... - YouTube,преди 5 дни —,1646349141
Обвинения НАТО в агрессии,https://ren.tv/news/politika/944458-zakharova-obvineniia-nato-v-agressii-bezosnovatelny,3,3,Захарова: Обвинения НАТО в агрессии безосновательны,преди 5 дни —,1646349141
Обвинения НАТО в агрессии,https://www.eurointegration.com.ua/rus/news/2022/02/24/7134577/,4,4,"В НАТО провели встречу из-за агрессии РФ, выдвинули ...","В НАТО провели встречу из-за агрессии РФ, выдвинули обвинения также к Беларуси. Четверг, 24 февраля 2022, 13:02 ...",1646349141
Обвинения НАТО в агрессии,https://ria.ru/20220226/zakharova-1775295768.html,5,5,В МИД ответили на обвинения НАТО в ... - РИА Новости,преди 5 дни —,1646349141
Обвинения НАТО в агрессии,https://www.m24.ru/videos/politika/26022022/434962,6,6,Москва считает безосновательными ... - Москва 24,преди 5 дни —,1646349141
Обвинения НАТО в агрессии,https://online47.ru/2022/02/26/predstavitel-mid-zakharova-moskva-schitaet-obvineniya-nato-v-adres-rossii-v-agressii-bezosnovatelnymi-149457,7,7,Представитель МИД Захарова: Москва считает обвинения ...,преди 5 дни —,1646349141
Обвинения НАТО в агрессии,https://www.pravda.com.ua/rus/news/2022/02/24/7325390/,8,8,"В НАТО провели встречу из-за агрессии РФ, выдвинули ...","В НАТО провели встречу из-за агрессии РФ, выдвинули обвинения также к Беларуси. Четверг, 24 февраля 2022, 13:32.",1646349141
Обвинения НАТО в агрессии,https://www.gazeta.ru/politics/2021/12/02_a_14272711.shtml,9,9,«Это именно НАТО приблизилась к нам»: МИД ответил на ...,2.12.2021 г. —,1646349141
Обвинения НАТО в агрессии,https://yandex.ru/news/story/Zakharova_Moskva_schitaet_obvineniya_NATO_vadres_Rossii_vagressii_bezosnovatelnymi--fb9cd84a398e94d803a5b09e7236d658?persistent_id=182390008,10,10,Москва считает обвинения НАТО в адрес России ... - ЯндексЗахарова: Москва считает обвинения НАТО в адрес ...,"преди 6 дни — Москва считает безосновательными обвинения НАТО в адрес России в агрессии, заявила официальный представитель МИД России Мария Захарова.",1646349141
Обвинения НАТО в агрессии,https://www.bbc.com/russian/news-60121438,11,11,НАТО предостерегает Россию от агрессии против Украины ...,25.01.2022 г. —,1646349141
Обвинения НАТО в агрессии,https://life.ru/p/1474625,12,12,Захарова: Обвинения России в агрессии со стороны НАТО ...,преди 5 дни —,1646349141
Обвинения НАТО в агрессии,https://russian.rt.com/world/news/968396-rossiya-nato-obvineniya,13,13,В МИД России назвали безосновательными обвинения со ...,преди 5 дни —,1646349141
Обвинения НАТО в агрессии,https://tass.ru/politika/13877731,14,14,"МИД РФ считает, что НАТО стоит ответить за свои ... - ТАСС",преди 5 дни —,1646349141
Обвинения НАТО в агрессии,https://iz.ru/1282729/2022-01-26/v-gosdume-nazvali-sumasshestviem-zaiavleniia-nato-o-rossiiskoi-agressii,15,15,В Госдуме назвали сумасшествием заявления НАТО о ...,26.01.2022 г. —,1646349141
Обвинения НАТО в агрессии,https://rossaprimavera.ru/news/f724688f,16,16,Москва считает обвинения НАТО в адрес России ...,преди 5 дни —,1646349141
Обвинения НАТО в агрессии,https://www.dw.com/bg/%D0%BD%D0%B0%D1%82%D0%BE-%D0%BF%D0%BE%D0%B2%D0%B8%D1%88%D0%B0%D0%B2%D0%B0-%D0%B1%D0%BE%D0%B9%D0%BD%D0%B0%D1%82%D0%B0-%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%BD%D0%BE%D1%81%D1%82-%D0%B1%D1%8A%D0%BB%D0%B3%D0%B0%D1%80%D0%B8%D1%8F-%D0%B7%D0%B0%D0%B5-%D0%BF%D0%BE%D0%B7%D0%B8%D1%86%D0%B8%D1%8F-%D1%89%D0%B5-%D0%B8%D0%BC%D0%B0-%D0%BB%D0%B8-%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0/a-60223242,17,17,"НАТО повишава бойната готовност, България зае позиция ...",22.12.2021 г. — Липсващи:,1646349141
Обвинения НАТО в агрессии,https://www.nato.int/cps/ru/natohq/official_texts_192489.htm,18,18,Заявление глав государств и правительств НАТО о ... - NATOЛидеры стран НАТО призывают Россию прекратить - NATO,преди 6 дни — преди 6 дни —,1646349141
