SearchQuery,URL,Score,Position,Title,Description,CreatedAt
Обострение ситуации в Донбассе,https://tass.ru/mezhdunarodnaya-panorama/13765359,1,1,Обострение ситуации в Донбассе. Хроника событий - ТАСС,Обострение ситуации в Донбассе. Хроника событий. ДНР и ЛНР на фоне обострения объявили об организации выезда населения в Россию. На следующий день главы ...,1646349142
Обострение ситуации в Донбассе,https://www.forbes.ru/society/456135-obostrenie-situacii-na-donbasse-glavnoe,2,2,Обострение ситуации в Донбассе. Главное | Forbes.ru,21.02.2022 г. —,1646349142
Обострение ситуации в Донбассе,https://rg.ru/2022/02/21/obostrenie-situacii-v-donbasse-onlajn-transliaciia.html,3,3,Обострение ситуации в Донбассе. Онлайн-трансляция,22.02.2022 г. —,1646349142
Обострение ситуации в Донбассе,https://ria.ru/20220219/obostrenie-1773703803.html,4,4,Обострение ситуации в ДНР и ЛНР. Онлайн-репортаж,23.02.2022 г. —,1646349142
Обострение ситуации в Донбассе,https://www.youtube.com/watch?v=iuCtphES8eA,5,5,"эвакуация жителей ДНР и ЛНР, мобилизация, обстрелы ...","Обострение ситуации в Донбассе: эвакуация жителей ДНР и ЛНР, мобилизация, обстрелы. Спецэфир Дождя. 777,192 views777K views.",1646349142
Обострение ситуации в Донбассе,https://www.interfax.ru/photo/5732,6,6,Обострение ситуации в Донбассе. Хроника - Интерфакс,22.02.2022 г. —,1646349142
Обострение ситуации в Донбассе,https://www.kommersant.ru/theme/1960,7,7,Ситуация в Донбассе: Последние новости России и мира,"Обстановка в Донбассе, ситуация в непризнанных Луганской и Донецкой народных республиках (ЛНР и ДНР), отношение их с Киевом и Москвой; наделение особым ...",1646349142
Обострение ситуации в Донбассе,https://iz.ru/tag/donbass,8,8,Донбасс — последние и свежие новости сегодня и за 2022 ...,Ситуация в Донбассе ... Путин отметил мужество военнослужащих РФ в ходе операции в Донбассе ... а также будущее политического урегулирования ситуации.,1646349142
Обострение ситуации в Донбассе,https://www.rbc.ru/politics/18/02/2022/620fa46f9a794793355c7d9b,9,9,Путин заявил об обострении ситуации в Донбассе - РБК,18.02.2022 г. —,1646349142
Обострение ситуации в Донбассе,https://www.golosameriki.com/a/donbass-escalation/6446364.html,10,10,На Донбассе наблюдается обострение ситуации - Голос ...,17.02.2022 г. —,1646349142
Обострение ситуации в Донбассе,https://www.vesti.ru/theme/2380,11,11,Тема: Ситуация в Донбассе - Вести.ру,,1646349142
Обострение ситуации в Донбассе,https://newsmaker.md/rus/novosti/v-evrope-zapakhlo-porokhom-obostrenie-situatsii-vdonbasse-glavnoe/,12,12,Обострение ситуации в Донбассе. Главное к утру 21 ...,21.02.2022 г. —,1646349142
Обострение ситуации в Донбассе,https://www.pravda.com.ua/rus/tags/donbas/,13,13,"Донбасс, все новости | Украинская правда",преди 3 дни —,1646349142
Обострение ситуации в Донбассе,https://www.gazeta.ru/politics/news/2022/02/20/17319007.shtml,14,14,"Путин заявил, что накачка Украины оружием НАТО ...",20.02.2022 г. —,1646349142
Обострение ситуации в Донбассе,https://www.msn.com/ru-ru/news/photos/%D0%BE%D0%B1%D0%BE%D1%81%D1%82%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D0%B8%D1%82%D1%83%D0%B0%D1%86%D0%B8%D0%B8-%D0%B2-%D0%B4%D0%BE%D0%BD%D0%B1%D0%B0%D1%81%D1%81%D0%B5-%D1%85%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0/ss-AAU79n8?li=BBoPEwK,15,15,Обострение ситуации в Донбассе. Хроника - MSN,23.02.2022 г. —,1646349142
Обострение ситуации в Донбассе,https://meduza.io/news/2022/02/20/rossiya-i-belorussiya-prodlyat-sovmestnye-ucheniya-prichinoy-etogo-nazvano-obostrenie-situatsii-v-donbasse,16,16,Россия и Белоруссия продлят совместные учения ... - Meduza,"Причиной этого названо обострение ситуации в Донбассе. 02:56, 20 февраля 2022. Источник: Минобороны Белоруссии. Данное сообщение (материал) создано и (или) ...",1646349142
Обострение ситуации в Донбассе,https://ru.armeniasputnik.am/Donbass/,17,17,Обострение ситуации в Донбассе ... - Sputnik Армения,18.02.2022 г. —,1646349142
Обострение ситуации в Донбассе,https://www.mk.ru/politics/2022/02/19/obostrenie-na-donbasse-nachalo-voyny-zavisit-ot-zelenskogo.html,18,18,Обострение на Донбассе: начало войны зависит от ... - МК,19.02.2022 г. —,1646349142
Обострение ситуации в Донбассе,https://lenta.ru/news/2022/02/18/putindonbass/,19,19,Путин отреагировал на ситуацию в Донбассе - Lenta.ru,18.02.2022 г. —,1646349142
