SearchQuery,URL,Score,Position,Title,Description,CreatedAt
освобождение людей от нацистской хунты,https://ru.wikipedia.org/wiki/%D0%A7%D1%91%D1%80%D0%BD%D1%8B%D0%B5_%D0%BF%D0%BE%D0%BB%D0%BA%D0%BE%D0%B2%D0%BD%D0%B8%D0%BA%D0%B8,1,1,Чёрные полковники - Википедия,"Режим «чёрных полковников», или режим полковников (греч. Καθεστώς των Συνταγματαρχών /kaθesˈtos ton sinˈdaɣ.matarˈxon/), или Ху́нта (Χούντα /ˈxunda/), ...",1646349143
освобождение людей от нацистской хунты,https://victorymuseum.ru/upload/files/unichtozhenie_gorodov.pdf,2,2,Федеральное государственное бюджетное учреждение ...,,1646349143
освобождение людей от нацистской хунты,https://arzamas.academy/mag/891-9_movies,3,3,"9 фильмов, изменивших историю - Arzamas",2.11.2020 г. —,1646349143
освобождение людей от нацистской хунты,https://vesti-k.ru/news/2022/02/27/aksyonov-pozdravil-krymchan-s-dnyom-sil-specoperacij-rossii/,4,4,Аксёнов поздравил крымчан с Днём Сил спецопераций ...,преди 5 дни —,1646349143
освобождение людей от нацистской хунты,https://www.gazeta.ru/politics/2018/09/04_a_11946379.shtml,5,5,Спикер Верховной рады назвал Гитлера «самым большим,5.09.2018 г. —,1646349143
освобождение людей от нацистской хунты,https://m.facebook.com/petroporoshenko/photos/a.474415552692842.1073741828.474409562693441/628563667278029/?type=1,6,6,Петро Порошенко added a new photo. - Facebook,28.05.2015 г. —,1646349143
освобождение людей от нацистской хунты,https://rus.ozodi.org/a/chto-proiskhodit-v-donbasse/31720899/lbl0lbi262481.html,7,7,Война началась. Путин объявил спецоперацию в Украине,преди 8 дни —,1646349143
освобождение людей от нацистской хунты,http://www.concernedhistorians.org/content_files/file/to/403.pdf,8,8,РОССИЯ: “ПРЕСТУПЛЕНИЯ ПРОТИВ ИСТОРИИ”,1.06.2021 г. —,1646349143
освобождение людей от нацистской хунты,https://radonezh.ru/2022/02/25/viktor-saulkin-osvobozhdenie-ukrainy-ot-nacistov,9,9,Виктор Саулкин: «Освобождение Украины от нацистов,преди 6 дни —,1646349143
освобождение людей от нацистской хунты,https://www.crimea.kp.ru/online/news/4645401/,10,10,Аксенов поздравил крымчан с Днем Сил спецопераций ...,преди 5 дни —,1646349143
освобождение людей от нацистской хунты,https://crimea24.tv/content/aksyonov-pozdravil-krimchan-s-dnyom-sil-s/,11,11,Аксёнов поздравил крымчан с Днём сил ... - Крым 24,преди 5 дни —,1646349143
