SearchQuery,URL,Score,Position,Title,Description,CreatedAt
падение Киева,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D1%82%D0%B2%D0%B0_%D0%B7%D0%B0_%D0%9A%D0%B8%D0%B5%D0%B2_(2022),1,1,Битва за Киев (2022) - Википедия,"По одним данным, в результате попадания российской ракеты или её осколков; по другим данным, в результате падения российского беспилотника. Министерство обороны ...",1646349144
падение Киева,https://webcafe.bg/analiz/kak-ukraintsite-uspyavat-da-udarzhat-kiev.html,2,2,"Как украинците успяват да удържат Киев - Webcafe.bg""Киев е само за разсейване, истинската атака ще е на юг ...",преди 3 дни — преди 5 дни —,1646349144
падение Киева,https://www.gazeta.ru/politics/news/2022/02/24/17341561.shtml,3,3,Newsweek: в США назвали срок «падения» Киева - Газета.Ru,преди 8 дни —,1646349144
падение Киева,https://www.dw.com/ru/kak-proshel-vtoroj-den-zhizni-kieva-v-uslovijah-vojny/a-60924338,4,4,Как прошел второй день жизни Киева в условиях войны - DW,преди 6 дни —,1646349144
падение Киева,https://www.bbc.com/russian/news-60520270,5,5,Удары России по Киеву и стрельба в городе. Что известно ...,преди 7 дни —,1646349144
падение Киева,https://www.pinterest.ru/pin/456059899748064064/,6,6,Падение Киева. 1240 год.,"Падение Киева. 1240 год. ""В год (от сотворения мира) 6748-й (1240-й). Пришел Батый к Киеву с силой тяжкой, со многим множеством силы своей, и окружил город, и ...",1646349144
падение Киева,https://www.swissinfo.ch/rus/%D1%81%D1%88%D0%B0-%D0%BF%D1%80%D0%B8%D0%B3%D1%80%D0%BE%D0%B7%D0%B8%D0%BB%D0%B8-%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B8-%D0%BD%D0%BE%D0%B2%D1%8B%D0%BC%D0%B8-%D1%81%D0%B0%D0%BD%D0%BA%D1%86%D0%B8%D1%8F%D0%BC%D0%B8-%D0%B2-%D1%81%D0%BB%D1%83%D1%87%D0%B0%D0%B5--%D0%BF%D0%B0%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F-%D0%BA%D0%B8%D0%B5%D0%B2%D0%B0----%D1%82%D0%B2/47384048,7,7,США пригрозили России новыми санкциями в случае ...,преди 5 дни —,1646349144
падение Киева,https://ria.ru/20220206/ukraina-1771313461.html,8,8,В США предсказали падение Киева через 72 часа после ...,6.02.2022 г. —,1646349144
падение Киева,https://rus.err.ee/1608514217/svodka-sil-oborony-jestonii-vlasti-ukrainy-prodemonstrirovali-reshimost-srazhatsja-za-kiev,9,9,Сводка Сил обороны Эстонии: власти Украины ... - ERR,преди 4 дни —,1646349144
падение Киева,https://www.vesti.bg/sviat/ruskite-sili-sa-v-kiev-ukrajna-prizova-civilnite-da-se-otbraniavat-6138647,10,10,"Руските сили са в Киев, Украйна призова цивилните да се ...",преди 7 дни —,1646349144
падение Киева,https://www.24chasa.bg/novini/article/11024998,11,11,"""168 часа"": В Киев - 18-годишни момчета с картечници в ...Петима убити при руския удар срещу тв кулата в Киев ...",преди 1 час — преди 2 дни —,1646349144
падение Киева,https://regnum.ru/news/3518087.html,12,12,Белый дом допускает возможность перехода Киева под ...,преди 6 дни —,1646349144
падение Киева,https://www.novinite.bg/articles/213721/Ogromna-eksploziya-v-Kiev-VIDEO,13,13,Огромна експлозия в Киев (ВИДЕО) - Novinite.bg,преди 3 дни —,1646349144
падение Киева,https://yandex.ru/news/story/NYT_amerikanskaya_razvedka_sprognozirovala_padenie_Kieva_vtechenie_96_chasov--dbeffe72e2eb232082e4ff7e21d13498?persistent_id=182314150,14,14,NYT: американская разведка спрогнозировала падение ...,"""После того как закончится работа авиации и артиллерии и начнется настоящая наземная война, я думаю, что Киев падет всего через несколько дней"", ...",1646349144
падение Киева,https://tass.ru/mezhdunarodnaya-panorama/13870003,15,15,Власти США считают возможным переход Киева ... - ТАСС,преди 6 дни —,1646349144
падение Киева,https://www.lrt.lt/ru/novosti/17/1633454/v-kieve-progremela-seriia-moshchneishikh-vzryvov,16,16,В Киеве прогремела серия мощнейших взрывов - LRT,преди 18 часа —,1646349144
падение Киева,https://interfax.com.ua/news/general/802780.html,17,17,США пригрозили Москве новыми санкциями в случае ...,преди 5 дни —,1646349144
падение Киева,https://www.tripadvisor.ru/ShowUserReviews-g294474-d3404770-r744532900-Gonchar_Hotel-Kyiv_Kiev.html,18,18,"Падение качества - отзыв о Отель Гончар, Киев, Украина","Отель Гончар: Падение качества - просмотрите отзывы путешественников, фотографии и лучшие предложения для Отель Гончар на сайте Tripadvisor.",1646349144
падение Киева,https://vz.ru/news/2022/2/26/1145815.html,19,19,Псаки сочла «падение» Киева «реальной возможностью»,"Псаки сочла «падение» Киева «реальной возможностью». 26 февраля 2022, 02:48. 25. Существует «реальная возможность» того, что Киев перейдет под контроль ...",1646349144
падение Киева,https://www.dnes.bg/rusia/2022/02/26/simvol-na-nadejdata-bebe-proplaka-v-metroto-v-kiev.521756,20,20,Символ на надеждата: Бебе проплака в метрото в Киев,преди 6 дни —,1646349144
падение Киева,https://www.rbc.ru/politics/26/02/2022/621a65af9a79473679ffe369,21,21,CNN узнал о возможных дополнительных санкциях США при,преди 5 дни —,1646349144
падение Киева,https://cinemaciti.ua/ru/cinema-city-kyiv/mv/after_we_fell/,22,22,"После падения – расписание сеансов, билеты в кино в ...","После падения «После падения» - расписание сеансов, билеты в кино на фильм «После падения» в сети кинотеатров Синема Сити Cинема Сити Киев, ТРЦ Ocean Plaza.",1646349144
падение Киева,https://www.unn.com.ua/ru/news/kiev,23,23,все последние новости Киева от агентства УНН,"Киев · Четверг, 3 марта 2022. 13:39. Кличко сообщил о ситуации с детьми-сиротами в Киеве · Понедельник, 28 февраля 2022. 10:41 · Суббота, 26 февраля 2022. 21:27.",1646349144
