SearchQuery,URL,Score,Position,Title,Description,CreatedAt
признание ДНР и ЛНР,https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%B6%D0%B4%D1%83%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%BE-%D0%BF%D1%80%D0%B0%D0%B2%D0%BE%D0%B2%D0%BE%D0%B9_%D1%81%D1%82%D0%B0%D1%82%D1%83%D1%81_%D0%94%D0%9D%D0%A0_%D0%B8_%D0%9B%D0%9D%D0%A0,1,1,Международно-правовой статус ДНР и ЛНР - Википедия,Процесс признания ДНР и ЛНР Россией —,1646349147
признание ДНР и ЛНР,https://www.bbc.com/russian/media-60485417,2,2,Признание ДНР и ЛНР. Что говорят о решении Путина в ...,"Признание ДНР и ЛНР. Что говорят о решении Путина в Ростовской области и в Киеве? 22 февраля 2022. 21 февраля президент России, а следом за ним Госдума и ...",1646349147
признание ДНР и ЛНР,https://ria.ru/20220222/turtsiya-1774241111.html,3,3,Признание ДНР и ЛНР было бы в интересах Анкары ...,22.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://www.vesti.ru/article/2680573,4,4,Признание ДНР и ЛНР: детали - Вести.ру,22.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://tass.ru/priznanie-suvereniteta-dnr-i-lnr,5,5,Признание суверенитета ДНР и ЛНР - ТАССМатвиенко: признание ДНР и ЛНР решит проблему вокруг ...,"Признание суверенитета ДНР и ЛНР ... ТАСС, информационное агентство (св-во о регистрации СМИ №03247 выдано 02 апреля 1999 г. Государственным комитетом Российской ...21.02.2022 г. —",1646349147
признание ДНР и ЛНР,https://lenta.ru/brief/2022/02/22/west_reacts/,6,6,Россия признала независимость ДНР и ЛНР. Как на это ...,22.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://www.rbc.ru/politics/22/02/2022/621402be9a794757eda3a073,7,7,Как в мире отреагировали на признание ДНР и ЛНР - РБК,22.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://www.interfax.ru/world/823561,8,8,Как в мире отреагировали на признание ... - Интерфакс,22.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://www.vedomosti.ru/politics/news/2022/02/24/910731-lukashenko-priznanii-dnr-lnr,9,9,Лукашенко: Белоруссия рассмотрит признание ДНР и ЛНР,"Вопрос о признании ДНР и ЛНР стоит на повестке дня у властей Белоруссии, заявил ее президент Александр Лукашенко.",1646349147
признание ДНР и ЛНР,https://www.kommersant.ru/doc/5228633,10,10,Что происходит после признания Россией независимости ...,22.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://meduza.io/feature/2022/02/22/putin-uveren-chto-grazhdane-rossii-podderzhivayut-priznanie-dnr-i-lnr-no-tak-li-eto-na-samom-dele-ved-kazhetsya-chto-donbasskogo-konsensusa-net,11,11,нет Интервью директора «Левада-Центра» Дениса Волкова,22.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://thebell.io/priznanie-dnr-i-lnr-kak-eto-bylo-kakih-zhdat-sanktsij-i-chto-budet-dalshe,12,12,"Признание ДНР и ЛНР: как это было, каких ждать санкций ...",21.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://www.gazeta.ru/social/photo/celebrating-recognition-of-lpr-dpr.shtml,13,13,Как в ДНР и ЛНР праздновали признание Россией ...,22.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://eurasia.expert/poslednee-preduprezhdenie-kak-soyuzniki-rossii-otreagirovali-na-priznanie-dnr-i-lnr/,14,14,Как союзники России отреагировали на признание ДНР и ...,22.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://www.dw.com/ru/prezident-rf-primet-reshenie-o-priznanie-nezavisimosti-dnr-i-lnr/a-60862698,15,15,Президент РФ заявил о признании независимости ″ДНР,21.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://trud.bg/%D0%BF%D1%83%D1%82%D0%B8%D0%BD-%D1%80%D0%B5%D1%88%D0%B5%D0%BD%D0%B8%D0%B5%D1%82%D0%BE-%D0%B7%D0%B0-%D0%BF%D1%80%D0%B8%D0%B7%D0%BD%D0%B0%D0%B2%D0%B0%D0%BD%D0%B5-%D0%BD%D0%B0-%D0%BD%D0%B5%D0%B7%D0%B0%D0%B2%D0%B8%D1%81%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%82%D0%B0-%D0%BD%D0%B0-%D0%B4%D0%BD%D1%80-%D0%B8-%D0%BB%D0%BD%D1%80-%D1%89%D0%B5-%D0%B1%D1%8A%D0%B4%D0%B5-%D0%B2%D0%B7%D0%B5%D1%82%D0%BE-%D0%B4%D0%BD%D0%B5%D1%81/,16,16,Путин: Решението за признаване на независимостта на ...,21.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://officelife.media/news/31283-priznanie-dnr-lnr-kakova-reaktsiya-na-etot-shag-rossii/,17,17,Признание Россией ДНР/ЛНР: реакция Украины и ...,22.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://iz.ru/1295199/2022-02-22/politolog-dopustil-priznanie-dnr-i-lnr-eshche-odnim-sopernikom-ssha,18,18,Политолог допустил признание ДНР и ЛНР еще ... - Известия,22.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://rtvi.com/news/kakie-strany-podderzhali-priznanie-rossiey-dnr-i-lnr-/,19,19,Какие страны поддержали признание Россией ДНР и ЛНР,22.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://www.mk.ru/politics/2022/02/21/smi-zelenskiy-gotov-soglasitsya-na-priznanie-dnr-i-lnr-rossiey.html,20,20,СМИ: Зеленский готов согласиться на признание ДНР и ...,21.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://rg.ru/2022/02/21/chleny-sovbeza-podderzhali-priznanie-nezavisimosti-dnr-i-lnr.html,21,21,Члены Совбеза поддержали признание независимости ...,21.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://realnoevremya.ru/news/241837-priznanie-rf-dnr-i-lnr-yavlyaetsya-vopiyuschim-narusheniem-mezhdunarodnogo-prava,22,22,В Евросовете назвали признание ДНР и ЛНР вопиющим ...,21.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://www.fontanka.ru/2022/02/22/70461188/,23,23,"Запад осуждает, Никарагуа поддерживает. Как мир ...",22.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://rus.azattyq.org/a/31707790.html,24,24,Признает ли Россия «ДНР» и «ЛНР» независимыми ...,17.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://www.m24.ru/news/politika/22022022/433035,25,25,"Зеленский заявил, что признание ДНР и ЛНР означает ...",22.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://regnum.ru/news/3513864.html,26,26,Постпред США при ОБСЕ: признание ДНР и ЛНР - ИА ...,21.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://www.golosameriki.com/a/russia-dnr-first-losses/6454096.html,27,27,Кремль начинает пожинать плоды признания «ДНР-ЛНР»,22.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://www.forbes.ru/biznes/456459-putin-prinal-resenie-priznat-dnr-i-lnr-cem-eto-grozit-ekonomike-i-rynku,28,28,Путин принял решение признать ДНР и ЛНР - Forbes.ru,21.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://www.bfm.ru/news/493462,29,29,Признание ЛНР и ДНР: мнения политологов и местных ...,21.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://www.svoboda.org/a/za-priznanie-dnr-i-lnr-golosovali-i-deputaty-kotoryh-ne-bylo-v-zale/31705043.html,30,30,"За признание ""ДНР"" и ""ЛНР"" голосовали депутаты, которых ...",15.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://yle.fi/novosti/3-12328602,31,31,Запад реагирует на признание ДНР и ЛНР - YLE,преди 8 дни —,1646349147
признание ДНР и ЛНР,https://russian.rt.com/ussr/article/962024-dnr-lnr-gosduma-priznanie,32,32,«Вопрос исключительно важный»: Госдума рассмотрит два ...,14.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://www.pnp.ru/politics/nikonov-prinyatie-dnr-i-lnr-povlechet-prinyatie-celogo-kompleksa-soglasheniy.html,33,33,Никонов: Признание ДНР и ЛНР повлечет целый комплекс ...,21.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://tvrain.ru/news/v_komitete_po_delam_sng_gosdumy_nazvali_priznanie_dnr_i_lnr_edinstvennym_putem_reshenija_konflikta_v_donbasse-548204/,34,34,В комитете по делам СНГ Госдумы назвали признание ...,20.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://pravo.ru/news/239177/,35,35,Госдума попросила Путина признать ДНР и ЛНР - Право.ru,15.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://www.voenmeh.ru/news/other/lnr-and-dnr,36,36,Военмех поддерживает признание ДНР и ЛНР,22.02.2022 г. —,1646349147
признание ДНР и ЛНР,https://uz.sputniknews.ru/20220222/priznanie-dnr-i-lnr---samoe-vajnoe-v-obraschenii-putina-22889845.html,37,37,Признание ДНР И ЛНР - самое важное в обращении Путина,22.02.2022 г. —,1646349147
