SearchQuery,URL,Score,Position,Title,Description,CreatedAt
Путин полностью завладел вниманием всего международного сообщества,https://www.dw.com/bg/%D0%B3%D0%B5%D1%80%D0%BC%D0%B0%D0%BD%D1%81%D0%BA%D0%B8-%D0%B5%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82-%D0%BF%D1%83%D1%82%D0%B8%D0%BD-%D0%BD%D0%B5-%D1%81%D0%B5-%D1%81%D1%82%D1%80%D0%B0%D1%85%D1%83%D0%B2%D0%B0-%D0%BE%D1%82-%D0%BD%D0%B0%D1%82%D0%BE/a-60932483,1,1,Германски експерт: ″Путин не се страхува от НАТО - DWСъбудете се: Путин открито обяви война - DW,преди 5 дни — Липсващи:22.02.2022 г. —,1646349148
Путин полностью завладел вниманием всего международного сообщества,https://inosmi.ru/20220227/ukraina-253217561.html,2,2,Newsweek (США): Путин не проиграл ни одной войны,преди 4 дни —,1646349148
Путин полностью завладел вниманием всего международного сообщества,https://dariknews.bg/novini/sviat/putin-ne-e-viarno-che-planiram-da-vyzstanovia-granicite-na-ruskata-imperiia-2301314,3,3,"Путин: Не е вярно, че планирам да възстановя границите ...",22.02.2022 г. — Липсващи:,1646349148
Путин полностью завладел вниманием всего международного сообщества,https://mgimo.ru/upload/iblock/559/55956fb39207dbd6dd783339b4b5b7e4.pdf,4,4,Казанцев А - MGIMO.ru,"привлекает пристальное внимание исследователей в различных ... существовании Центральной Азии как международного региона? Уже сейчас его существование, ...",1646349148
Путин полностью завладел вниманием всего международного сообщества,https://carnegieendowment.org/files/9356The_Russian_Military.pdf,5,5,Вооруженные силы России: власть и политика - Carnegie ...,"ние – это прежде всего грозная близость России в качестве по ... ся больше в центре внимания мирового сообщества, угроза со.",1646349148
Путин полностью завладел вниманием всего международного сообщества,http://duma.gov.ru/media/files/qFnOZeAyLmOu7rh3MXK2gngkTe501RbR.pdf,6,6,Государственнаая Дума. Стенограмма заседаний. Том 28 (196),Оно отличалось прежде всего знанием положения дел в об ... Путин отметил: необходимы реализация комплексных проек ... и духом международного права.,1646349148
Путин полностью завладел вниманием всего международного сообщества,https://www.econ.msu.ru/ext/lib/Category/x10/x0e/4110/file/eurint.pdf,7,7,Евразийская интеграция: - Экономический факультет МГУ,"евразийская интеграция — потребность не одной России, а всего многонационального евразийского сообщества, реализующего свое бытие в контексте бытия мирового ...",1646349148
Путин полностью завладел вниманием всего международного сообщества,https://xn--d1acdremb9i.xn--80aaccp4ajwpkgbl4lpb.xn--p1ai/images/Religiozno-politicheskiy-e%60kstremizm.-Uchebnoe-posobie..pdf,8,8,Лекция 1 - Комитет по делам молодежи Тверской области,"привлекают пристальное внимание исследователей, прежде всего, к фундаменталистскому ... единства мусульманского сообщества под руководством одного халифа.",1646349148
Путин полностью завладел вниманием всего международного сообщества,https://m.polit.ru/article/2004/12/23/putindoc/,9,9,Большая кремлевская пресс-конференция Владимира Путина ...,"И должен сказать, что эти оценки полностью отражают экономическую практику. ... В.ПУТИН: Год не был простым не только для нашей страны, но и для всего мира.",1646349148
Путин полностью завладел вниманием всего международного сообщества,https://cdnimg.rg.ru/pril/article/206/25/96/Doklad_tekst.docx,10,10,ОГЛАВЛЕНИЕ ВСТУПИТЕЛЬНОЕ СЛОВО 5 Глава 1. ПРАВА И ...,"2020 год навсегда войдет в историю событиями непреходящего значения как для России, так и для всего мирового сообщества: коренные изменения Конституции ...",1646349148
