SearchQuery,URL,Score,Position,Title,Description,CreatedAt
Путин не проиграл ни одной войны,https://regnum.ru/news/3518402.html,1,1,Путин не проиграл еще ни одной войны — Newsweek - ИА ...,"Москва, 26 февраля 2022, 15:26 — REGNUM Президент России Владимир Путин еще не проиграл ни одной войны, поэтому оптимизм лидеров Запада относительно того, ...",1646349149
Путин не проиграл ни одной войны,https://newizv.ru/news/politics/27-02-2022/newsweek-prezident-putin-ne-proigral-ni-odnoy-voyny,2,2,Newsweek: «Президент Путин не проиграл ни одной войны»,"Newsweek: «Президент Путин не проиграл ни одной войны». Вчера, 13:13. Политика. Фото: https://www.newsweek.com/2022/03/11/putin-has-never-lost-war-here-how- ...",1646349149
Путин не проиграл ни одной войны,https://inosmi.ru/20220227/ukraina-253217561.html,3,3,Newsweek (США): Путин не проиграл ни одной войны,преди 4 дни —,1646349149
Путин не проиграл ни одной войны,https://yandex.ru/news/story/Putin_ne_proigral_eshhyo_ni_odnoj_vojny_Newsweek--3e3def8d95cde77615d7639b7b003bc4?lang=ru&fan=1&stid=NTdA&t=1645936574&persistent_id=182397064&story=8ddc76c3-7dbe-5142-adc3-4c69aa75e91c,4,4,Путин не проиграл ещё ни одной войны — Newsweek,преди 6 дни —,1646349149
Путин не проиграл ни одной войны,https://nv.ua/world/geopolitics/putin-proigral-voynu-s-ukrainoy-uzhe-seychas-avakov-poslednie-novosti-50221409.html,5,5,Путин проиграл войну с Украиной уже сейчас — Аваков,преди 2 дни —,1646349149
Путин не проиграл ни одной войны,https://www.lrt.lt/ru/novosti/17/1632897/sergei-rudenko-putin-uzhe-proigral-voinu-obediniv-protiv-sebia-ukraintsev,6,6,"Сергей Руденко. Путин уже проиграл войну, объединив ...",преди 1 ден —,1646349149
Путин не проиграл ни одной войны,https://www.pravda.ru/news/politics/1686308-putin_ne_proigral_esche_ni_odnoi_voiny/,7,7,Путин не проиграл ещё ни одной войны — Newsweek,преди 5 дни —,1646349149
Путин не проиграл ни одной войны,https://russian.rt.com/inotv/2022-03-01/Newsweek-Putin-vsegda-pobezhdal-i,8,8,"Newsweek: Путин всегда побеждал, и Украина не станет ...",преди 3 дни —,1646349149
Путин не проиграл ни одной войны,https://www.severreal.org/a/adam-mihnik-o-putine-i-voyne-s-ukrainoy/31728642.html,9,9,"""Переговоры – это просто его игра"". Адам Михник о Путине ...",преди 3 дни —,1646349149
Путин не проиграл ни одной войны,https://www.bbc.com/russian/live/news-60355872,10,10,Война России с Украиной: хроника событий 24 февраля,преди 8 дни — Липсващи:,1646349149
Путин не проиграл ни одной войны,https://tvrain.ru/teleshow/kotrikadze_inostrannyh_del/putin-546951/,11,11,"Путин проиграл, если блефовал. Какой план готовит ...",1.02.2022 г. —,1646349149
Путин не проиграл ни одной войны,https://www.svoboda.org/a/vse-idet-po-planu-putina/31706158.html,12,12,"Все идет по ""плану Путина""? - Радио Свобода",16.02.2022 г. —,1646349149
Путин не проиграл ни одной войны,https://meduza.io/feature/2022/02/25/voyna-prinesla-stolko-gorya-chto-zabyt-eto-nevozmozhno-i-net-proscheniya-tem-kto-vnov-zamyshlyaet-agressivnye-plany-v-v-putin-2021-god,13,13,"«Война принесла столько горя, что забыть это невозможно ...",преди 6 дни —,1646349149
Путин не проиграл ни одной войны,https://radiosputnik.ria.ru/20220227/newsweek-1775327140.html,14,14,"""Путин никогда не проигрывал войны"". Newsweek о ...",преди 5 дни — Липсващи:,1646349149
Путин не проиграл ни одной войны,https://imag.one/news/newsweek-prezident-putin-ne-proigral-ni/12093875,15,15,Newsweek: «Президент Путин не проиграл ни одной войны,преди 5 дни —,1646349149
Путин не проиграл ни одной войны,https://www.ekhokavkaza.com/a/31625008.html,16,16,"Юрий Федоров: «Возникает подозрение, что Путин боится ...",24.12.2021 г. —,1646349149
Путин не проиграл ни одной войны,https://www.liga.net/politics/articles/igra-v-tanki-zachem-putin-imitiruet-voynu-s-nato-na-fone-rekordno-nizkogo-reytinga,17,17,"""Игра в танки"". Зачем Путин имитирует ""войну с НАТО"" на ...",17.09.2021 г. —,1646349149
