SearchQuery,URL,Score,Position,Title,Description,CreatedAt
Путин не принимал постсоветский статус-кво в Восточной Европе,https://www.svobodnaevropa.bg/a/31718556.html,1,1,"Очертани граници, но не съвсем. Какво точно призна ...Как Путин обясни нападението срещу Украйна с гняв ...",23.02.2022 г. — Липсващи:преди 8 дни —,1646349150
Путин не принимал постсоветский статус-кво в Восточной Европе,https://inosmi.ru/20220227/ukraina-253217561.html,2,2,Newsweek (США): Путин не проиграл ни одной войны,преди 4 дни —,1646349150
Путин не принимал постсоветский статус-кво в Восточной Европе,https://www.dw.com/bg/%D0%BF%D1%83%D1%82%D0%B8%D0%BD-%D0%B8%D1%81%D0%BA%D0%B0-%D0%B4%D1%8F%D0%BB-%D0%BE%D1%82-%D0%B5%D0%B2%D1%80%D0%BE%D0%BF%D0%B0-%D0%BD%D0%B8-%D0%BF%D0%BE%D0%B2%D0%B5%D1%87%D0%B5-%D0%BD%D0%B8-%D0%BF%D0%BE-%D0%BC%D0%B0%D0%BB%D0%BA%D0%BE/a-60236157,3,3,"Путин иска дял от Европа - ни повече, ни по-малко - DWКонфликтът в Украйна: Путин е със самочувствието, че не ...",23.12.2021 г. — Липсващи:16.02.2022 г. —,1646349150
Путин не принимал постсоветский статус-кво в Восточной Европе,https://library.fes.de/pdf-files/bueros/wien/15428.pdf,4,4,Выйти из «про межуточного поло жения»,"время закрепить новый статус-кво, не в последнюю очередь за счет ... и Восточной Европы считали более тесные отношения с НАТО, а в.",1646349150
Путин не принимал постсоветский статус-кво в Восточной Европе,https://www.imemo.ru/files/File/ru/publ/2017/2017_024.pdf,5,5,РОССИЯ В СИСТЕМЕ ЕВРОПЕЙСКОЙ ... - ИМЭМО РАН,"встроиться в систему европейской безопасности, не ущемляя при этом интересы ... (России) из Восточной Европы. Закрепление нового статус-кво предполагало бы.",1646349150
Путин не принимал постсоветский статус-кво в Восточной Европе,http://carnegieendowment.org/files/ProEtContra_56_all.pdf,6,6,РОССИЯ: ВЗГЛЯД В БУДУЩЕЕ ИЗ 2012 ГОДА Политические ...,"ознаменовало собой не укрепление статус-кво, ... Владимир Путин будет сохранять власть в своих ... Восточной Европе в конце холодной войны.",1646349150
Путин не принимал постсоветский статус-кво в Восточной Европе,https://www.chathamhouse.org/sites/default/files/CHHJ8054-RUSSIAN-Kazakhstan-Report-FINAL.pdf,7,7,Казахстан: испытание «транзитом власти» - Chatham House,"Если статус-кво сохранится, Казахстан будет еще сильнее ... в Европе (ОБСЕ) никогда не считали выборы в Казахстане свободными и справедливыми.",1646349150
Путин не принимал постсоветский статус-кво в Восточной Европе,https://russiancouncil.ru/upload/iblock/56a/evolutionofpostsovietspace_ru.pdf,8,8,Untitled - Российский совет по международным делам,"Преемственность и изменчивость в Восточной Европе . . . . . . . . 215 ... 2000-х гг., скорее всего, не будет: или статус-кво изменится в результате комп-.",1646349150
Путин не принимал постсоветский статус-кво в Восточной Европе,https://www.eriras.ru/files/2014_rus_2_final.pdf,9,9,Содержание - ИнЭИ РАН,Европа и Россия: не допустить новой «холодной войны» Сергей Караганов 8 ... чего зафиксировали бы новый статус-кво и положили конец борьбе за.,1646349150
Путин не принимал постсоветский статус-кво в Восточной Европе,https://dariknews.bg/novini/sviat/putin-biahme-prinudeni-da-zapochnem-operaciiata-v-ukrajna-2301669,10,10,Путин: Бяхме принудени да започнем операцията в Украйна,преди 8 дни — Липсващи:,1646349150
Путин не принимал постсоветский статус-кво в Восточной Европе,https://mgimo.ru/upload/2016/04/strategicheskoe-prognozirovanie-mezhdunarodnykh-otnosheniy.pdf,11,11,Стратегическое прогнозирование международных ... - MGIMO.ruРоссия и страны Востока в постбиполярный период - MGIMO.ru,"же может она принадлежать к Европе?», — заключает Данилевский5. ... случае, если держава, бросившая вызов статус-кво, не стремится.как это делали западноевропейские державы, и не принимала участия ... нам сохранить хрупкий статус-кво в исторически тяжелых условиях.",1646349150
Путин не принимал постсоветский статус-кво в Восточной Европе,https://ies.lublin.pl/wp-content/uploads/2020/09/ies-monografie-2-2-2019_0.pdf,12,12,Untitled - Instytut Europy Środkowej - lublin.pl,"церкви в Беларуси и Восточной Европе. Его статья демонстри- ... и ввести в действие закон, гарантирующий особый статус для не-.",1646349150
Путин не принимал постсоветский статус-кво в Восточной Европе,https://www.eduskunta.fi/FI/naineduskuntatoimii/julkaisut/Documents/tuvjv_1+2007.pdf,13,13,Россия 2017: - Eduskunta,"История – существенная часть отношений Финляндии с Россией, но она не должна ... Совета Европы. Россия подписала Европейский договор по правам человека.",1646349150
Путин не принимал постсоветский статус-кво в Восточной Европе,https://www.hse.ru/pubs/share/direct/document/159709818,14,14,Untitled - Высшая школа экономики,этой победы Россия доминировала в Восточной Европе и поддерживала ... Путин как президент не сможет играть обе роли — свою и Медведева.,1646349150
Путин не принимал постсоветский статус-кво в Восточной Европе,http://inion.ru/site/assets/files/1560/2012_symbolic_politics_1.pdf,15,15,Untitled - инион ран,символической стороны политики не породили иных теоретических размежева- ... десятилетия в Восточной Европе. Этот сюжет продолжает.,1646349150
Путин не принимал постсоветский статус-кво в Восточной Европе,https://en.ehu.lt/wp-content/uploads/2017/11/CrossRoad_3-4_2013s.pdf,16,16,Untitled - European Humanities University,"народам Восточной Европы. Отражением стремления к созданию буфера между ... украинцев и 71.3% россиян (не принимали участия Армения, Грузия, Молдавия.",1646349150
Путин не принимал постсоветский статус-кво в Восточной Европе,https://www.samgups.ru/about/struktura_universiteta/samara_tehnikum/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F.%202%20%D0%BA%D1%83%D1%80%D1%81x.docx,17,17,Конспект Внешняя политика: от «духа Женевы» к Карибскому ...,"Существенно то, что СССР не имел ни одной военной базы у границ или берегов ... в СССР перестройки и политических преобразований в странах Восточной Европы, ...",1646349150
Путин не принимал постсоветский статус-кво в Восточной Европе,http://dissovet.rudn.ru/web-local/prep/rj/dis/download.php?file=778b76a06bc1a99a8ed0fd95e2f94d3a16008,18,18,ДАНЮК Никита Сергеевич - диссертационных советах РУДН,"свержению коммунистических правительств в странах Восточной Европы во времена ... Однако, несмотря на сохранение status quo, США не оставляли усилий по.",1646349150
Путин не принимал постсоветский статус-кво в Восточной Европе,https://ecfr.eu/sofia/publication/sushtiat_putin_druga_rusia/,19,19,"Същият Путин, друга Русия - European Council on Foreign ...",30.11.2011 г. — Липсващи:,1646349150
Путин не принимал постсоветский статус-кво в Восточной Европе,https://nova.bg/news/view/2022/02/07/356118/%D0%BF%D1%83%D1%82%D0%B8%D0%BD-%D0%B8%D0%B4%D0%B5%D0%B8-%D0%BD%D0%B0-%D0%BC%D0%B0%D0%BA%D1%80%D0%BE%D0%BD-%D0%BC%D0%BE%D0%B3%D0%B0%D1%82-%D0%B4%D0%B0-%D1%81%D0%B0-%D0%B2-%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D0%B0%D1%82%D0%B0-%D0%BD%D0%B0-%D0%BF%D0%BE-%D0%BD%D0%B0%D1%82%D0%B0%D1%82%D1%8A%D1%88%D0%BD%D0%B8-%D1%81%D1%8A%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%BD%D0%B8-%D1%81%D1%82%D1%8A%D0%BF%D0%BA%D0%B8/,20,20,Путин: Идеи на Макрон могат да са в основата на ... - NOVA,7.02.2022 г. —,1646349150
Путин не принимал постсоветский статус-кво в Восточной Европе,https://bg.wikipedia.org/wiki/%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9F%D1%83%D1%82%D0%B8%D0%BD,21,21,Владимир Путин - Уикипедия,"Путин не губи надежда и все пак иска да знае какво е препоръчително да изучава, за да има най-голям шанс да бъде привлечен за сътрудник.",1646349150
