SearchQuery,URL,Score,Position,Title,Description,CreatedAt
развернутой Киевом война,https://ru.krymr.com/a/putin-obyavil-voynu-ukraine/31719814.html,1,1,Восьмой день войны России против Украины ...,преди 5 дни —,1646349152
развернутой Киевом война,https://www.vedomosti.ru/opinion/articles/2022/01/25/906381-voini-ne-budet,2,2,Войны не будет - Ведомости,26.01.2022 г. —,1646349152
развернутой Киевом война,https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE-%D1%83%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B8%D0%B7%D0%B8%D1%81_(2021%E2%80%942022),3,3,Российско-украинский кризис (2021—2022) - Википедия,На этом фоне в конце января — начале февраля 2022 года многие государства объявили об эвакуации из Киева своих дипломатов и призвали своих граждан покинуть ...,1646349152
развернутой Киевом война,https://www.gazeta.ru/army/2021/12/20/14336239.shtml,4,4,«Следов подготовки к вторжению нет». Москва и Киев не ...,20.12.2021 г. —,1646349152
развернутой Киевом война,https://www.dw.com/ru/zrja-rossija-na-nas-napala-kak-ja-perezhila-nachalo-vojny/a-60905690,5,5,″Зря Россия на нас напала″. Как я в Киеве пережила ...Готовила ли Россия наступление на Украину - DW,преди 8 дни — Липсващи:22.04.2021 г. —,1646349152
развернутой Киевом война,https://www.pravda.com.ua/rus/news/date_26022022/,6,6,Новости дня 26 февраля 2022 года | Украинская правда,преди 5 дни —,1646349152
развернутой Киевом война,https://www.bbc.com/russian/indepth/ukraine_russia_fighting,7,7,Украина: война на востоке - BBC News Русская служба,"Украина: война на востоке ... Украинские военные: ""Долечимся - и назад на войну"" ... Кремль: слова Путина о взятии Киева вырваны из контекста.",1646349152
развернутой Киевом война,https://ru.euronews.com/2022/01/25/ukraine-wrap-2501,8,8,В Киев прибыл третий самолёт с американским оружием,25.01.2022 г. —,1646349152
развернутой Киевом война,https://rg.ru/2022/02/16/sovbez-rf-zapadnye-lidery-dolzhny-osoznat-chto-rossiia-nikomu-ne-ugrozhaet.html,9,9,"Совбез РФ: Западные лидеры должны осознать, что ...",16.02.2022 г. —,1646349152
развернутой Киевом война,https://russian.rt.com/ussr/article/956997-ukraina-ucheniya-chernobylskaya-aes,10,10,"Токсичные манёвры: почему Киев решил провести учения ...Привет, оружие! — РТ на русском - RT",4.02.2022 г. — 25.01.2022 г. —,1646349152
развернутой Киевом война,https://nv.ua/opinion/recommends/rossiya-ukraina-timoti-snayder-o-tom-budet-li-v-ukraine-voyna-putin-poslednie-novosti-50210338.html,11,11,"Россия Украина — Тимоти Снайдер о том, будет ли в ...",23.01.2022 г. —,1646349152
развернутой Киевом война,http://cast.ru/comments/prinuzhdenie-k-miru-2-blizhayshaya-perspektiva-rossii-na-ukraine.html,12,12,Принуждение к миру-2: ближайшая перспектива России на ...,А разрешить этот вопрос на войне можно только одним способом — силой. ... Признание де-факто Киевом присоединения Крыма к России и отказ от любых форм ...,1646349152
развернутой Киевом война,https://lenta.ru/news/2017/10/17/tymchuk/,13,13,В Раде назвали причину боязни Киева объявлять войну России ...,"Депутат Рады Дмитрий Тымчук заявил, что Киев не объявляет войну России, ... что развернутые Киевом в регионе военные действия были незаконными.",1646349152
развернутой Киевом война,https://www.vesti.ru/article/2676116,14,14,Салливан: Россия может начать вторжение на Украину до ...,12.02.2022 г. —,1646349152
развернутой Киевом война,https://www.mk.ru/politics/2021/04/06/voevat-za-ukrainu-ssha-nikogda-ne-budut.html,15,15,"""Воевать за Украину США никогда не будут» - МК",6.04.2021 г. —,1646349152
развернутой Киевом война,https://www.atlanticcouncil.org/wp-content/uploads/2019/08/HPS_Russian.pdf,16,16,ПРЯЧАСЬ У - всех на глазах - Atlantic Council,1.07.2015 г. —,1646349152
развернутой Киевом война,https://www.youtube.com/watch?v=RKgS0mmszfM,17,17,Война на Украине: Битва за Киев! Войска России ...,преди 6 дни —,1646349152
развернутой Киевом война,https://ren.tv/news/v-mire/945127-minoborony-zaiavilo-chto-rossiia-zavershaet-voennye-deistviia-na-ukraine,18,18,"Минобороны заявило, что Россия завершает военные ...",преди 3 дни —,1646349152
развернутой Киевом война,https://iz.ru/1296062/2022-02-24/voennyi-ekspert-zaiavil-o-nesposobnosti-armii-ukrainy-nanesti-ushcherb-vs-rossii,19,19,Военный эксперт заявил о неспособности армии Украины ...,преди 8 дни —,1646349152
развернутой Киевом война,https://www.svoboda.org/a/31190877.html,20,20,Война нужна Путину для выборов? - Радио Свобода,7.04.2021 г. —,1646349152
