SearchQuery,URL,Score,Position,Title,Description,CreatedAt
Россия в глобальной политике,https://globalaffairs.ru/,1,1,Россия в глобальной политике,globalaffairs.ru – журнал «Россия в глобальной политике». Общественно-политический журнал о международных отношениях и внешней политике.,1646349153
Россия в глобальной политике,https://globalaffairs.ru/,2,2,Россия в глобальной политике,globalaffairs.ru – журнал «Россия в глобальной политике». Общественно-политический журнал о международных отношениях и внешней политике.,1646349153
Россия в глобальной политике,https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D1%8F_%D0%B2_%D0%B3%D0%BB%D0%BE%D0%B1%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B9_%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B5,3,3,Россия в глобальной политике - Википедия,"Журнал «Росси́я в глоба́льной поли́тике» — научно-практический общественно-политический журнал, посвященный вопросам внешней политики России и проблемам ...",1646349153
Россия в глобальной политике,https://www.pressa-rf.ru/cat/1/edition/i15577/,4,4,Подписка на журнал «Россия в глобальной политике,"Оформить подписку онлайн на журнал «Россия в глобальной политике». Цена подписки на издание за минимальный подписной период — 1044.75 руб. Оплата подписки ...1044,75 RUB",1646349153
Россия в глобальной политике,https://istina.msu.ru/journals/96617/,5,5,Россия в глобальной политике - журнал | ИСТИНА,"Россия в глобальной политикежурнал. Индексирование: Список ВАК (1 января 1970 г.-), Список РИНЦ (1 января 1970 г.-), Журналы РФ в RSCI WoS (1 января 1970 г.",1646349153
Россия в глобальной политике,https://www.sgu.ru/structure/imimo/courses/bachelor-mezhdunarodnye-otnosheniya/rossiya-v-globalnoy-politike,6,6,Россия в глобальной политике | СГУ,"Курс «Россия в глобальной политике» преследует цель дать систематическое освещение внешней политики России с 1991 г. по наши дни, ее места и роли в ...",1646349153
Россия в глобальной политике,https://mgimo.ru/about/structure/faculty/sgp/kmpp/courses/rossiya-v-globalnoy-politike-mezhdunarodnye-otnosheniya-politologiya/,7,7,Россия в глобальной политике (Международные ...,Рабочая программа по дисциплине «Россия в глобальной политике» составлена в соответствии с требованиями СОС МГИМО по направлению подготовки 41.03.04 ...,1646349153
Россия в глобальной политике,https://urait.ru/book/rossiya-v-globalnoy-politike-433208,8,8,Россия в глобальной политике - Юрайт».,Обложка книги РОССИЯ В ГЛОБАЛЬНОЙ ПОЛИТИКЕ Пряхин В. Ф. Учебник и практикум ... России как актора международных отношений с глобальной ответственностью.,1646349153
Россия в глобальной политике,https://www.ozon.ru/product/rossiya-v-globalnoy-politike-revushchie-20-e-244757979/,9,9,"Россия в глобальной политике. Ревущие 20-е - OZONРоссия в глобальной политике"" рекомендует - OZON","В наличии Second-hand книги ""Россия в глобальной политике. Ревущие 20-е"" в интернет-магазине OZON со скидкой! ✓ Отзывы и фото Быстрая доставка по ...617,00 RUBСерия Россия в глобальной политике"" рекомендует - каталог товаров на OZON: выгодные цены и доставка по всей России.",1646349153
Россия в глобальной политике,https://nsuem.ru/library/periodicals/materials/arhiv_nomerov/rossiya_v_glob.php,10,10,Россия в глобальной политике - НГУЭиУ,"Россия в глобальной политике / учредители Общественный совет по внешней и оборонной политике, Российский союз промышленников и предпринимателей.",1646349153
Россия в глобальной политике,https://alpinabook.ru/series/rossiya-v-globalnoy-politike-rekomenduet/,11,11,"""Россия в глобальной политике"" рекомендует - Альпина ...","Книги серии «""Россия в глобальной политике"" рекомендует» в каталоге издательства Альпина Паблишер.",1646349153
Россия в глобальной политике,https://www.imemo.ru/news/events/text/statyya-pavla-gudeva-i-ilyi-kramnika-v-zhurnale-rossiya-v-globalynoy-politike,12,12,Статья Павла Гудева и Ильи Крамника в журнале «Россия ...,В журнале «Россия в глобальной политике» (№ 3 / май-июнь 2021) опубликована статья Павла Гудева и Ильи Крамника «КАНАЛ ВЛИЯНИЯ?».,1646349153
Россия в глобальной политике,https://iversity.org/en/courses/%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D1%8F-%D0%B2-%D0%B3%D0%BB%D0%BE%D0%B1%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B9-%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B5,13,13,Россия в глобальной политике - iVersity,"About this course. Процесс становления и развития современной внешней политики России проходит на фоне динамичных глобальных трансформаций, ...",1646349153
Россия в глобальной политике,https://www.dpo.rudn.ru/course/rossiya-v-globalnoy-politike/,14,14,Россия в глобальной политике - Дополнительное ...,"Процесс становления и развития современной внешней политики России проходит на фоне динамичных глобальных трансформаций, формирующих новый мировой порядок.",1646349153
Россия в глобальной политике,https://elibrary.ru/contents.asp?titleid=9070,15,15,"Журнал ""Россия в глобальной политике"" - Elibrary",,1646349153
Россия в глобальной политике,https://t.me/ru_global/,16,16,Contact @ru_global - Telegram,"Россия в глобальной политике. 30 400 subscribers. Научно-практический общественно-политический журнал, посвящённый вопросам внешней политики России и ...",1646349153
Россия в глобальной политике,https://www.instagram.com/globalaffairsmag/?hl=bg,17,17,globalaffairsmag - Instagram,"2035 Followers, 2689 Following, 1068 Posts - See Instagram photos and videos from Россия в глобальной политике (@globalaffairsmag)",1646349153
Россия в глобальной политике,https://vk.com/ru_global,18,18,"Журнал ""Россия в глобальной политике"" | ВКонтакте",Россия в глобальной политике- журнал о мировой политике и международных отнош ... www.globalaffairs.ru. RussiaGlobalAffairs (@ru_global) | Твиттер. twitter.com.,1646349153
Россия в глобальной политике,http://svop.ru/tag/%D1%80%D0%BE%D1%81%D1%81%D0%B8%D1%8F-%D0%B2-%D0%B3%D0%BB%D0%BE%D0%B1%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B9-%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B5/,19,19,Россия в глобальной политике,"27 мая в 16:00 журнал «Россия в глобальной политике», Совет по внешней и оборонной политике совместно с факультетом мировой экономики и мировой политики НИУ ...",1646349153
