SearchQuery,URL,Score,Position,Title,Description,CreatedAt
Россия завершает военные действия на Украине,https://ria.ru/20220228/ukraina-1775653460.html,1,1,"Россия завершает войну, начатую Украиной, заявил ...Минобороны отвергло обвинение в развязывании ...",преди 3 дни — преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://russian.rt.com/world/news/969391-voina-rossiya-ukraina,2,2,Небензя: Россия завершает войну Киева против ... - RT,преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://www.interfax.ru/world/825194,3,3,"Минобороны заявило, что Россия не начинала военные ...",преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://tvzvezda.ru/news/20222281544-hIEbo.html,4,4,МО РФ: Россия не начинала военные действия на Украине ...,преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://www.rbc.ru/politics/01/03/2022/62074b119a7947b0e49b36f7,5,5,Военная операция на Украине. Главное - РБКВоенная операция на Украине. Главное - РБК,преди 2 дни — преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://www.irk.ru/news/20220301/results/,6,6,Итоги военной операции России на Украине за 28 февраля,преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://regnum.ru/news/3519820.html,7,7,"Россия закончит войну, которую начала Украина, заявил ...",преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://ren.tv/news/v-mire/945127-minoborony-zaiavilo-chto-rossiia-zavershaet-voennye-deistviia-na-ukraine,8,8,"Минобороны заявило, что Россия завершает ... - РЕН ТВ",преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://realnoevremya.ru/articles/242672-minoborony-rossii-rossiya-ne-nachinala-voennye-deystviya,9,9,Минобороны: «Россия не начинала военные действия ...,преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://www.m24.ru/news/politika/28022022/435560,10,10,"Россия не начинала военные действия, она их завершает",преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://iz.ru/1298200/2022-02-28/v-mo-rasskazali-o-sotrudnichestve-administratcii-gorodov-na-ukraine-s-voennymi-rf,11,11,В МО рассказали о сотрудничестве администраций ...,преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://www.gazeta.ru/politics/2022/02/28/14583679.shtml,12,12,"Операция на Украине. Хроника пятого дня - Газета.RuВ Минобороны заявили, что Россия не ... - Газета.Ру",преди 3 дни — преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://tass.ru/armiya-i-opk/13899009,13,13,"В Минобороны заявили, что в операции на Украине ... - ТАСС",преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://www.dp.ru/a/2022/02/28/V_Minoboroni_zajavili__chto2,14,14,"В Минобороны заявили, что Россия ... - Деловой Петербург",преди 4 дни —,1646349154
Россия завершает военные действия на Украине,https://www.vesti.ru/article/2683196,15,15,"Американские военные планировали ""прописаться"" в Крыму",преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://46tv.ru/odnoj-strokoj/v-rossii/163121-v-minoborony-zajavili-chto-rossija-ne-nachinala-voennye-dejstvija-na-ukraine-ona-ih-zavershaet.html,16,16,"В Минобороны заявили, что Россия не начинала ... - 46ТВ",преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://www.bbc.com/russian/live/news-60355872,17,17,Война России с Украиной: хроника событий 24 февраля,преди 8 дни — Липсващи:,1646349154
Россия завершает военные действия на Украине,https://www.pnp.ru/politics/matvienko-zapad-posledovatelno-podtalkival-kievskiy-rezhim-k-voyne.html,18,18,Матвиенко рассказала о бенефициарах военного ...,преди 1 ден —,1646349154
Россия завершает военные действия на Украине,https://rg.ru/2022/02/28/predstaviteli-rossii-i-ukrainy-dogovorilis-prodolzhit-peregovornyj-process.html,19,19,Представители России и Украины договорились ...,преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://yandex.ru/news/story/Minoborony_Rossiya_ne_nachinala_voennye_dejstviya_naUkraine_ona_ikh_zavershaet--a77f1d322eaf6d34d71e9299ede18000?lang=ru&from=rss&wan=1&stid=n4axujtiHMfwBWlSf0oo,20,20,"Россия не начинала военные действия на Украине, она их ...Минобороны заявило, что Россия завершает ... - Яндекс","преди 3 дни — Минобороны заявило, что Россия завершает военные действия на Украине ... Минобороны: Россия не начинала военные действия, она их завершает.",1646349154
Россия завершает военные действия на Украине,https://www.4vsar.ru/news/minoborony-rossiya-ne-nachinala-voennye-160387/,21,21,Минобороны: Россия не начинала ... - Четвертая власть,преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://www.delfi.lt/ru/abroad/global/vojna-v-ukraine-herson-pod-kontrolem-rossijskih-voennyh-peregovory-ukrainy-i-rf.d?id=89605371,22,22,Война в Украине. Херсон под контролем российских ... - Delfi,преди 16 часа —,1646349154
Россия завершает военные действия на Украине,https://riavrn.ru/news/minoborony-rf-v-specoperacii-prinimayut-uchastie-tolko-kontraktniki/,23,23,Минобороны РФ: в спецоперации принимают участие ...,преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://life.ru/p/1475078,24,24,Минобороны: Россия не начинала военные ... - Life.ru,преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://sputnik-abkhazia.ru/20220228/minoborony-rossiya-polozhit-konets-ugrozam-so-storony-kievskogo-rezhima-1037845750.html,25,25,Минобороны: Россия положит конец угрозам со стороны ...,преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://www.mk.ru/politics/2022/02/28/minoborony-rf-rossiya-ne-nachinala-voennykh-deystviy-rossiya-ikh-zavershaet.html,26,26,"Минобороны РФ: ""Россия не начинала военные действия ...",преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B9%D0%BD%D0%B0_%D0%B2_%D0%94%D0%BE%D0%BD%D0%B1%D0%B0%D1%81%D1%81%D0%B5,27,27,Война в Донбассе - Википедия,преди 3 часа —,1646349154
Россия завершает военные действия на Украине,https://prooren.ru/news/rossiya-i-mir/v-minoborony-rf-zayavili-chto-v-specoperacii-na-ukraine-zadeystvovany-tolko,28,28,"В Минобороны РФ заявили, что в спецоперации на ...","«Россия не начинала военных действий, Россия их завершает. Военные действия со стороны режима в Киеве и планомерное уничтожение жителей Донбасса шло восемь ...",1646349154
Россия завершает военные действия на Украине,https://lenta.ru/news/2022/02/28/kiev/,29,29,В Минобороны заявили о конце угроз в адрес России со ...,преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://www.9111.ru/questions/7777777771758866/,30,30,"Минобороны заявило, что Россия завершает военные ...",преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://www.1tv.ru/news/2022-02-28/422173-pyatyy_den_spetsialnoy_operatsii_kotoruyu_rossiyskie_voennye_provodyat_na_ukraine,31,31,"Пятый день специальной операции, которую российские ...",преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://expert.ru/2022/02/28/general-konashenkov-rossiya-ne-nachinala-voyennyye-deystviya-rossiya-ikh-zavershayet/,32,32,Генерал Конашенков: «Россия не начинала военные ...,преди 3 дни —,1646349154
Россия завершает военные действия на Украине,https://nsn.fm/ukraine/minoborony-zayavilo-chto-rf-ne-nachinala-voennye-deistviya-a-zakanchivaet-ih,33,33,"Минобороны заявило, что РФ не начинала военные ...",преди 3 дни —,1646349154
