SearchQuery,URL,Score,Position,Title,Description,CreatedAt
спасти страну от неонацистов у власти,https://theins.ru/news/248925,1,1,Google заморозила монетизацию и размещение рекламы ...Евросоюз расширил санкции против Беларуси из-за ее ...,преди 5 дни — преди 1 ден —,1646349155
спасти страну от неонацистов у власти,https://www.yamalpro.ru/2022/03/02/novaya-gazeta-bolnitsyi-v-belgorode-pereprofiliruyut-dlya-rossiyskih-voennyih-grazhdanskih-ne-prinimayut/,2,2,«Новая газета»: больницы в Белгороде перепрофилируют ...,преди 2 дни —,1646349155
спасти страну от неонацистов у власти,https://mobile.twitter.com/luckyunluckyday,3,3,суча відьма (@luckyunluckyday) / Twitter,В ночь на 24 февраля Владимир Путин объявил о начале «военной операции» в Украине. Он обосновал это необходимостью «спасти страну от неонацистов у власти».,1646349155
спасти страну от неонацистов у власти,http://www.tumenpro.ru/2022/03/02/v-rossii-zablokirovali-saytyi-eha-moskvyi-i-dozhdya/,4,4,В России заблокировали сайты «Эха Москвы» и «Дождя»,преди 2 дни —,1646349155
спасти страну от неонацистов у власти,http://argumentua.com/stati/rossiya-otkryto-napala-na-ukrainu-khronika-navaly,5,5,Россия открыто напала на Украину. Хроника навалы. Идут ...,преди 4 дни —,1646349155
спасти страну от неонацистов у власти,https://tjournal.ru/news/548491-issledovateli-istorii-nacizma-so-vsego-mira-vystupili-protiv-togo-chtoby-ukrainskuyu-vlast-nazyvali-pronacistskoy,6,6,Исследователи истории нацизма со всего мира выступили ...,преди 3 дни —,1646349155
спасти страну от неонацистов у власти,https://www.vedomosti.ru/opinion/articles/2015/04/01/vlast-ubivaet-politiki-umirayut,7,7,"Власть убивает, политики умирают - ВедомостиАльтернативы для СССР - Ведомости",31.03.2015 г. — 16.12.2016 г. —,1646349155
спасти страну от неонацистов у власти,https://tass.ru/obschestvo/4657495,8,8,Всемирный еврейский конгресс призвал власти Винницы ...,18.10.2017 г. —,1646349155
спасти страну от неонацистов у власти,https://www.kommersant.ru/doc/5236967,9,9,Россия заблокировала в Совбезе ООН резолюцию с ...,преди 6 дни —,1646349155
спасти страну от неонацистов у власти,https://www.sports.ru/profile/133039597/status/2248284/,10,10,Трибуна Статус - Sports.ru,преди 8 дни —,1646349155
спасти страну от неонацистов у власти,https://russiaun.ru/ru/news/ga_ess2802,11,11,Russian English - Постоянное представительство ...,преди 4 дни —,1646349155
спасти страну от неонацистов у власти,https://russian.rt.com/world/news/968060-rezolyuciya-ukraina-oon,12,12,"Небензя заявил, что резолюция в СБ ООН по Украине ... - RT",преди 6 дни —,1646349155
спасти страну от неонацистов у власти,https://www.bbc.com/russian/features-46028352,13,13,Пресса Британии: какой будет Европа после Меркель? - BBC,30.10.2018 г. —,1646349155
спасти страну от неонацистов у власти,https://www.gazeta.ru/politics/2021/04/28_a_13576064.shtml,14,14,В Киеве впервые прошло шествие в честь дивизии ССВласти Эфиопии начали внутренний вооруженный конфликт,28.04.2021 г. — 5.11.2020 г. —,1646349155
спасти страну от неонацистов у власти,http://tyumen-news.net/politics/2022/03/01/231738.html,15,15,Сергей Шойгу: российские силы продолжат «спецоперацию,преди 2 дни —,1646349155
спасти страну от неонацистов у власти,https://rus.ozodi.org/a/31701334.html,16,16,В Алматы на митинге в память о погибших в январе ...,13.02.2022 г. —,1646349155
спасти страну от неонацистов у власти,https://www.dp.ru/a/2021/11/25/V_Smolnom_poobeshhali_spas,17,17,В Смольном пообещали спасти дом Чубакова на ...,25.11.2021 г. —,1646349155
спасти страну от неонацистов у власти,https://mexico.mid.ru/ru/22_iyunya_1941_g/75_let_velikoy_pobedy_obshchaya_otvetstvennost_pered_istoriey_i_budushchim/,18,18,"""75 лет Великой Победы: общая ответственность перед ...","Принято говорить: война оставила глубокий след в истории каждой семьи. ... стало одним из определяющих в его героической, жертвенной борьбе против нацистов.",1646349155
спасти страну от неонацистов у власти,http://www.zspk.gov.ru/press-service/press-relizy/587336/,19,19,Необходимо спасти людей от геноцида и добиться ...,преди 3 дни —,1646349155
спасти страну от неонацистов у власти,https://nsarchive.gwu.edu/media/26836/ocr,20,20,Уолтер Лакер. Сущность фaшизма - OCR of the Document ...,... был И в Германии и в Италии приходу к власти нацистов строго атеистичен в ... отделяли Муссолини бьшо однозначным Заявлять что в Италии страну от эпохи ...,1646349155
спасти страну от неонацистов у власти,http://rureporter.com/news/110509,21,21,Данила Козловский попросил Путина остановить войну,преди 4 дни —,1646349155
спасти страну от неонацистов у власти,https://mnews.kz/post/rossiya-zaplatit-ochen-vysokuyu-ekonomicheskuyu-i-politicheskuyu-tsenu-zayavlenie-nato-o-vtorzhenii-rossii-v-ukrainu-21776/,22,22,заявление НАТО о вторжении России в Украину - Mnews.kz,В ночь на 24 февраля Владимир Путин объявил о начале «военной операции» в Украине. Он обосновал это необходимостью «спасти страну от неонацистов у власти».,1646349155
спасти страну от неонацистов у власти,https://meduza.io/feature/2022/02/26/razdelenie-eto-delo-dyavola,23,23,Православные священники из России и Украины ... - Meduza,преди 6 дни —,1646349155
спасти страну от неонацистов у власти,https://m.facebook.com/pages/category/Government-Building/RussiaUN/posts/?locale2=ru_RU,24,24,Постоянное представительство Российской Федерации ...,,1646349155
