SearchQuery,URL,Score,Position,Title,Description,CreatedAt
спецоперация по защите Донбасса,https://www.youtube.com/watch?v=dldlmsvmBos,1,1,мнения в мире разделились - Россия 24 ​ - YouTube,"Спецоперация по защите Донбасса: мнения в мире разделились - Россия 24 ​ ... операции по защите Донбасса. Последние новости России и мира, ...",1646349156
спецоперация по защите Донбасса,https://regnum.ru/news/3519080.html,2,2,Спецоперация России по защите Донбасса — все новости,преди 5 дни —,1646349156
спецоперация по защите Донбасса,https://iz.ru/1298674/2022-03-01/pushilin-rasskazal-o-khode-spetcoperatcii-po-zashchite-donbassa,3,3,Пушилин рассказал о ходе спецоперации по защите ...,преди 3 дни —,1646349156
спецоперация по защите Донбасса,https://www.tatar-inform.ru/news/putin-specoperaciya-po-zashhite-donbassa-idet-v-sootvetstvii-s-grafikom-5857104,4,4,Путин: Спецоперация по защите Донбасса идет в ...,преди 6 часа —,1646349156
спецоперация по защите Донбасса,https://sputnik-abkhazia.ru/20220302/nazvano-chislo-pogibshikh-v-khode-spetsoperatsii-rossiyskikh-i-ukrainskikh-soldat-1037899467.html,5,5,Минобороны назвало потери в ходе спецоперации по ...,преди 1 ден —,1646349156
спецоперация по защите Донбасса,https://www.gazeta.ru/politics/news/2022/02/24/17336791.shtml,6,6,Путин объявил о проведении спецоперации по защите ...,преди 8 дни —,1646349156
спецоперация по защите Донбасса,https://ren.tv/news/v-mire/943801-spetsoperatsiia-po-zashchite-donbassa-khronologiia-vtorogo-dnia,7,7,Спецоперация по защите Донбасса: хронология второго дня,преди 7 дни —,1646349156
спецоперация по защите Донбасса,https://tvzvezda.ru/news/202233205-oTUla.html,8,8,"Путин заверил, что спецоперация по защите Донбасса ...",преди 6 часа —,1646349156
спецоперация по защите Донбасса,https://russian.rt.com/tag/voennaya-operaciya-zaschita-donbass,9,9,Новости о военной операции по защите Донбасса - RT,преди 23 часа —,1646349156
спецоперация по защите Донбасса,https://www.vesti.ru/article/2683633,10,10,Шестой день спецоперации по защите ДНР и ЛНР - Вести.ру,преди 2 дни —,1646349156
спецоперация по защите Донбасса,https://www.rbc.ru/tags/?tag=%D1%81%D0%BF%D0%B5%D1%86%D0%BE%D0%BF%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%B2%20%D0%94%D0%BE%D0%BD%D0%B1%D0%B0%D1%81%D1%81%D0%B5,11,11,спецоперация в Донбассе — последние новости сегодня ...,Ру. спецоперация в Донбассе — все самые свежие новости по теме. ... 74 военных объекта Украины В ходе российской спецоперации по защите жителей Донбасса ...,1646349156
спецоперация по защите Донбасса,https://punkt-a.info/news/glavnoe/itogi-sedmogo-dnya-spetsoperatsii-rossii-po-zashchite-donbassa,12,12,Итоги седьмого дня спецоперации России по защите ...,преди 15 часа —,1646349156
спецоперация по защите Донбасса,https://ngs.ru/text/theme/25415/,13,13,"Военная операция на Украине , страница 1 - Новосибирск",преди 4 часа —,1646349156
спецоперация по защите Донбасса,https://region15.ru/v-tshinvale-sostoyalsya-miting-v-podderzhku-spetsoperatsii-rossii-po-zashhite-zhitelej-donbassa/,14,14,В Цхинвале состоялся митинг в поддержку спецоперации ...,преди 1 ден —,1646349156
спецоперация по защите Донбасса,https://sova.info/news/spetsoperatsiya-po-zashchite-donbassa-chto-izvestno-k-etomu-chasu/,15,15,Спецоперация по защите Донбасса: что известно к этому ...,преди 8 дни —,1646349156
спецоперация по защите Донбасса,https://ria.ru/20220227/spetsoperatsiya-1775379471.html,16,16,Путин проинформировал Беннета о ходе спецоперации на ...,преди 5 дни —,1646349156
спецоперация по защите Донбасса,https://lenta.ru/news/2022/02/27/porazili/,17,17,В Минобороны раскрыли потери среди военной ... - Lenta.ru,преди 4 дни —,1646349156
спецоперация по защите Донбасса,https://aif.ru/society/army/eksperty_nazvali_vozmozhnye_sroki_okonchaniya_rossiyskoy_specoperacii,18,18,Эксперты назвали возможные сроки окончания ...,преди 7 дни —,1646349156
спецоперация по защите Донбасса,https://www.interfax.ru/russia/824756,19,19,"Медведев заявил, что спецоперация РФ будет завершена ...",преди 6 дни —,1646349156
спецоперация по защите Донбасса,https://www.5-tv.ru/news/378052/kadyrov-rasskazal-opoterah-sredi-cecencev-vspecoperacii-pozasite-donbassa/,20,20,Кадыров рассказал о потерях среди чеченцев в ...,преди 3 дни —,1646349156
спецоперация по защите Донбасса,https://rg.ru/2022/02/25/specialnaia-voennaia-operaciia-po-zashchite-dnr-i-lnr-den-vtoroj-onlajn.html,21,21,Специальная военная операция по защите ДНР и ЛНР ...,преди 6 дни —,1646349156
спецоперация по защите Донбасса,https://www.mk.ru/politics/2022/02/26/opolchenec-so-stazhem-indus-iz-donecka-vnov-zapisalsya-na-voynu.html,22,22,«Индус» из Донецка вновь записался на войну - МК,преди 6 дни —,1646349156
спецоперация по защите Донбасса,https://yakutia.info/article/203477,23,23,Владимир Путин заявил о проведении военной ...,преди 8 дни —,1646349156
спецоперация по защите Донбасса,https://life.ru/p/1474418,24,24,Член ОП РФ Есин: Спецоперация по защите Донбасса ...,преди 6 дни —,1646349156
спецоперация по защите Донбасса,https://62info.ru/news/proisshestviya/87296-vypusknik-ryazanskogo-desantnogo-uchilishcha-pogib-vo-vremya-spetsoperatsii-v-donbasse/,25,25,Выпускник рязанского десантного училища погиб во время ...,преди 1 ден —,1646349156
спецоперация по защите Донбасса,https://pobeda26.ru/news/obshhestvo/2022-03-03/na-stavropolie-planiruyut-otkryt-goryachuyu-liniyu-dlya-semey-uchastnikov-spetsoperatsii-po-zaschite-donbassa-220450,26,26,На Ставрополье планируют открыть горячую линию для ...,преди 6 часа —,1646349156
спецоперация по защите Донбасса,https://ru.sputnik.kz/voennaya-operatsiya-rossii-na-ukraine/,27,27,Военная операция России на Украине,преди 9 часа —,1646349156
спецоперация по защите Донбасса,https://www.1tv.ru/news/2022-02-25/421790-igor_konashenkov_soobschil_poslednie_dannye_o_hode_spetsoperatsii_po_zaschite_donbassa,28,28,Игорь Конашенков сообщил последние данные о ходе ...,преди 6 дни —,1646349156
