SearchQuery,URL,Score,Position,Title,Description,CreatedAt
угрозы со стороны Киева в адрес Москвы,https://www.youtube.com/watch?v=ZemTAGn6cHc,1,1,"Срочное обращение Путина, начало военной операции ...","Срочное обращение Путина, начало военной операции. Угрозы со стороны НАТО.Главное из речи президента · https://www.youtube.com/user/tvrbcnew...",1646349157
угрозы со стороны Киева в адрес Москвы,https://tass.ru/politika/13497469,2,2,В посольстве РФ назвали угрозы Токио в адрес Москвы ...,22.01.2022 г. —,1646349157
угрозы со стороны Киева в адрес Москвы,https://www.vedomosti.ru/politics/news/2021/12/30/903481-v-kieve-ne-usmotreli-ugrozi,3,3,В Киеве не усмотрели угрозы вторжения со стороны России,30.12.2021 г. —,1646349157
угрозы со стороны Киева в адрес Москвы,https://ria.ru/20220210/ukraina-1772087032.html,4,4,"Киев попросит помощи у НАТО в случае агрессии МосквыВ Киеве не видят угрозы полномасштабной ""операции ...",10.02.2022 г. — 17.02.2022 г. —,1646349157
угрозы со стороны Киева в адрес Москвы,https://www.golosameriki.com/a/kremlin-trade-in-threats-russia-vs-ukraine/6339652.html,5,5,Москва–Киев–Запад и «торговля угрозами» со стороны ...,4.12.2021 г. —,1646349157
угрозы со стороны Киева в адрес Москвы,https://www.m24.ru/news/politika/01032022/435975,6,6,Минобороны сообщило о готовящихся ударах ... - Москва 24,преди 2 дни —,1646349157
угрозы со стороны Киева в адрес Москвы,https://www.bbc.com/russian/news-60479521,7,7,Россия эвакуирует своих дипломатов с территории Украины,22.02.2022 г. —,1646349157
угрозы со стороны Киева в адрес Москвы,https://www.kommersant.ru/doc/5051102,8,8,МИД РФ: заявления Киева о возможности нанесения удара ...,26.10.2021 г. —,1646349157
угрозы со стороны Киева в адрес Москвы,https://www.gazeta.ru/politics/news/2022/01/25/17193349.shtml,9,9,"В США не согласились с оценками Украины об отсутствии ...В Киеве рассказали, зачем Россия «провоцирует - Газета.Ру",25.01.2022 г. — 17.02.2022 г. —,1646349157
угрозы со стороны Киева в адрес Москвы,https://secretmag.ru/news/ukraina-prigrozila-udarit-raketami-po-belorussii-01-03-2022.htm,10,10,Украина пригрозила ударить ракетами по Белоруссии,преди 2 дни —,1646349157
угрозы со стороны Киева в адрес Москвы,https://tsn.ua/ru/politika/ugrozy-napadeniya-net-postpred-rossii-v-oon-raskritikoval-zapad-ssylayas-na-slova-zelenskogo-1966054.html,11,11,постпред РФ в ООН использовал слова Зеленского для ...,"Он уверяет, что со стороны Москвы не прозвучало ни одной угрозы в адрес Киева. После своего выступления Небензя покинул зал заседания Совбеза ООН.",1646349157
угрозы со стороны Киева в адрес Москвы,https://iz.ru/1286017/2022-02-03/baiden-obsudil-s-makronom-situatciiu-na-granitce-rf-s-ukrainoi,12,12,Байден обсудил с Макроном ситуацию на границе РФ с ...США заявили о намерении РФ сфабриковать нападение ...,3.02.2022 г. — 4.02.2022 г. —,1646349157
угрозы со стороны Киева в адрес Москвы,https://www.vesti.ru/article/2672941,13,13,Псаки объяснила смысл антироссийского вброса - Вести.Ру,5.02.2022 г. —,1646349157
угрозы со стороны Киева в адрес Москвы,https://www.interfax.ru/world/819098,14,14,"Киев и Вашингтон разошлись во мнениях о ""неминуемом ...",29.01.2022 г. —,1646349157
угрозы со стороны Киева в адрес Москвы,https://russian.rt.com/inotv/2022-01-06/Blinken-nikakoj-ugrozi-Rossii-so,15,15,Блинкен: никакой угрозы России со стороны Украины нет,6.01.2022 г. —,1646349157
угрозы со стороны Киева в адрес Москвы,https://www.mk.ru/politics/2021/04/14/ukrainskaya-razvedka-usmotrela-rost-ugrozy-so-storony-rossii.html,16,16,Украинская разведка усмотрела рост угрозы со стороны ...,14.04.2021 г. —,1646349157
угрозы со стороны Киева в адрес Москвы,https://www.wsws.org/ru/articles/2022/02/18/nato-f18.html,17,17,США и НАТО еще больше усиливают военные угрозы в ...,18.02.2022 г. —,1646349157
угрозы со стороны Киева в адрес Москвы,https://novayagazeta.ru/articles/2022/02/16/den-kogda-ne-sluchilas-voina,18,18,"День, когда не случилась война Как живет Киев на фоне ...",16.02.2022 г. —,1646349157
угрозы со стороны Киева в адрес Москвы,https://www.rbc.ru/tags/?tag=%D1%83%D0%B3%D1%80%D0%BE%D0%B7%D1%8B,19,19,угрозы — последние новости сегодня на РБК.Ру,"Песков отметил, что со стороны думского комитета по этике уже даны определенные оценки словам депутата. РБК, Политика, 02 фев, 12:26. «Эхо Москвы» попросило ...",1646349157
угрозы со стороны Киева в адрес Москвы,https://www.liga.net/world/opinion/zadushena-putinskimi-obyatiyami-chto-stoit-za-ugrozami-lukashenko-v-storonu-ukrainy,20,20,Лукашенко угрожает Украине. Чего нам ожидать и причем ...,20.12.2021 г. —,1646349157
угрозы со стороны Киева в адрес Москвы,https://www.znak.com/2022-03-03/opros_70_rossiyan_schitayut_nedopustimymi_ugrozy_kadyrova_v_adres_semi_yangulbaevyh,21,21,Опрос: 70% россиян считают недопустимыми угрозы ...,преди 9 часа —,1646349157
угрозы со стороны Киева в адрес Москвы,https://www.currenttime.tv/a/ssha-britania-evakuiruyut-iz-ukrainy-rodstvennikov-diplomatov-povod-dlya-paniki/31670257.html,22,22,Посольства США и Британии эвакуируют из Украины ...,25.01.2022 г. —,1646349157
угрозы со стороны Киева в адрес Москвы,https://rueconomics.ru/549931-politolog-chaplyga-predupredil-o-fatalnom-otvete-rossii-na-raketnye-ugrozy-kieva,23,23,Политолог Чаплыга предупредил о фатальном ответе ...,27.10.2021 г. —,1646349157
угрозы со стороны Киева в адрес Москвы,https://www.dw.com/ru/rossija-nato-i-problema-ukrainy-chto-meshaet-dogovoritsja/a-60552016,24,24,"Россия, НАТО и проблема Украины: что мешает ... - DW",25.01.2022 г. —,1646349157
угрозы со стороны Киева в адрес Москвы,https://tvrain.ru/teleshow/fishman_vechernee_shou/ukraine_nechego_ustupat-547180/,25,25,"«Украине нечего уступать, Россия уступать не хочет ...",4.02.2022 г. —,1646349157
угрозы со стороны Киева в адрес Москвы,https://versia.ru/novye-domysly-zapada-o-vtorzhenii-rossii-yevakuaciya-iz-donbassa-i-ugrozy-kieva-vyjti-iz-budapeshtskogo-memoranduma,26,26,"Новые домыслы Запада, эвакуация из Донбасса и угрозы ...","Боррель поприветствовал сдержанную позицию Киева «перед лицом провокаций». В целом, в ЕС заявили, что не видят шагов со стороны Москвы по деэскалации конфликта.",1646349157
