SearchQuery,URL,Score,Position,Title,Description,CreatedAt
Украина никогда не станет членом НАТО,https://ria.ru/20211209/ukraina-1762922142.html,1,1,"Украина никогда не станет членом НАТО - РИА НовостиЭкс-генсек НАТО заявил, что Украина не войдет в альянс в ...",9.12.2021 г. — 23.01.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://www.youtube.com/watch?v=EHe_aG7pEp8,2,2,Украина никогда-никогда-никогда не станет членом НАТО,10.01.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://www.youtube.com/watch?v=F8ngrhfgVH0,3,3,"“Украина никогда, никогда не станет членом НАТО” _ Рябков",10.01.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://www.gazeta.ru/politics/news/2022/01/19/17160601.shtml,4,4,"США нужно признать, что Украина никогда не войдет в НАТО",19.01.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://ru.wikipedia.org/wiki/%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D0%B0_%D0%B8_%D0%9D%D0%90%D0%A2%D0%9E,5,5,Украина и НАТО - Википедия,"Тем не менее после этого генеральный секретарь НАТО Яп де Хоп Схеффер заявил, что Украина со временем станет полноправным членом Альянса. В 2010 году с приходом ...",1646349158
Украина никогда не станет членом НАТО,https://lenta.ru/news/2022/01/11/russiausashu/,6,6,На Украине рассказали о договоренностях России и США,11.01.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://tass.ru/mezhdunarodnaya-panorama/13392025,7,7,"Депутат Рады считает, что Россия и США уже ... - ТАСС",11.01.2022 г. — Липсващи:,1646349158
Украина никогда не станет членом НАТО,https://www.bbc.com/russian/news-59936030,8,8,Россия и США провели первые переговоры о гарантиях ...,10.01.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://russian.rt.com/inotv/2022-03-01/Newsweek-Putin-vsegda-pobezhdal-i,9,9,"Newsweek: Путин всегда побеждал, и Украина не станет ...",преди 3 дни —,1646349158
Украина никогда не станет членом НАТО,https://www.golosameriki.com/a/oy-flournoy-putin-ukraine/6444600.html,10,10,Украина: решится ли Путин «проглотить дикобраза»?,16.02.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://www.eurointegration.com.ua/rus/news/2022/02/8/7133723/,11,11,Финскому депутату пришлось извиняться за твит по поводу ...В НАТО пока не получили ответ России по предложениям ...,8.02.2022 г. — 15.02.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://voennoedelo.com/posts/id18928-zzcfg5ftrmj6rywjjn72,12,12,Украина никогда не станет членом НАТО по четырем ...,10.01.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://iz.ru/1279100/2022-01-19/ekspert-prizvala-ssha-otkazatsia-ot-idei-chlenstva-ukrainy-v-nato,13,13,Эксперт призвала США отказаться от идеи членства ...,19.01.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://www.ukrinform.ru/rubric-world/3405313-v-berline-oprovergaut-obesania-solca-putinu-cto-ukraina-ne-stanet-clenom-nato.html,14,14,"В Берлине опровергают «обещания» Шольца Путину, что ...",16.02.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://www.vesti.ru/article/2665930,15,15,Байден: Украина вряд ли в скором времени вступит в НАТО,20.01.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://polit.info/570441-britanskii-diplomat-obyasnil-pochemu-ukraina-nikogda-ne-stanet-chlenom-nato,16,16,"Британский дипломат объяснил, почему Украина никогда ...",18.02.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://www.pravda.com.ua/rus/news/2022/02/9/7323331/,17,17,"""Финляндизация Украины"" обсуждается как вариант – СМИ",9.02.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://zerkalo.az/oleg-zhdanov-ukraina-nikogda-ne-stanet-chlenom-nato/,18,18,Олег Жданов: «Украина никогда не станет членом НАТО,16.06.2020 г. —,1646349158
Украина никогда не станет членом НАТО,https://1prime.ru/state_regulation/20220227/836188848.html,19,19,"Американский журнал напомнил, что ""Путин никогда не ...",преди 5 дни —,1646349158
Украина никогда не станет членом НАТО,https://sud.ua/ru/news/abroad/225799-rossiya-na-peregovorakh-s-ssha-soobschila-budet-li-ona-napadat-na-ukrainu,20,20,"Россия на переговорах с США сообщила, будет ли она ...",10.01.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://ru.slovoidilo.ua/2022/01/10/novost/mir/rossiya-trebuet-garantij-togo-chto-ukraina-nikogda-ne-stanet-chlenom-nato-ryabkov,21,21,Россия требует гарантий невступления Украины в НАТО,10.01.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://www.ekhokavkaza.com/a/31647875.html,22,22,"Рябков: России нужны гарантии, что Украина ... - Эхо Кавказа",10.01.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://delo.ua/politics/rf-trebuet-zelezobetonnyx-garantii-cto-ukraina-ne-vstupit-v-nato-itogi-rossiisko-amerikanskix-peregovorov-v-zeneve-391137/,23,23,"РФ требует ""железобетонных гарантий"", что Украина не ...",10.01.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://nv.ua/opinion/rossiya-ukraina-peregovory-napadet-li-rossiya-na-ukrainu-nato-novosti-ukrainy-50208777.html,24,24,переговоры — Нападет ли Россия на Украину - Новое Время,15.01.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://www.ukr.net/news/details/politics/89177248.html,25,25,"Россия требует гарантий, что Украина никогда не станет ...","Россия требует гарантий, что Украина никогда не станет членом НАТО: стали известны детали переговоров в Женеве. Сегодня в 19:30•APNews.",1646349158
Украина никогда не станет членом НАТО,https://mgimo.ru/about/news/experts/262255/,26,26,Станет ли Украина членом НАТО? - MGIMO.ru,1.12.2014 г. —,1646349158
Украина никогда не станет членом НАТО,https://www.dw.com/ru/bajden-v-sluchae-vtorzhenija-v-ukrainu-rf-zhdut-katastroficheskie-ehkonomicheskie-sankcii/a-60488985,27,27,Байден: В случае вторжения в Украину РФ ждут ... - DW,20.01.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://sputnik-abkhazia.ru/20220110/ryabkov-rossii-nuzhny-garantii-chto-ukraina-i-gruziya-nikogda-ne-stanut-chlenami-nato-1037091175.html,28,28,"Рябков: России нужны гарантии, что Украина и Грузия ...",11.01.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://rossaprimavera.ru/news/e0bd7bc3,29,29,"В Китае заявили, что ключ к решению украинского кризиса ...",преди 6 часа —,1646349158
Украина никогда не станет членом НАТО,https://bykvu.com/ua/bukvy/2699-rossii-nuzhno-dat-garantii-chto-ukraina-nikogda-ne-stanet-chlenom-nato-mid-italii/,30,30,"России нужно дать гарантии, что Украина никогда не ...","России нужно дать гарантии, что Украина никогда не станет членом НАТО, – МИД Италии. Об этом заявил министр иностранных дел Италии Паоло Джентилони в ...",1646349158
Украина никогда не станет членом НАТО,https://ugra-news.ru/article/vladimir_pozner_eshche_v_2018_godu_zayavil_chto_rossiya_ne_dopustit_vstupleniya_ukrainy_v_nato/,31,31,"Владимир Познер еще в 2018 году заявил, что Россия не ...",преди 1 ден —,1646349158
Украина никогда не станет членом НАТО,https://www.nato.int/cps/ru/natohq/115204.htm,32,32,Обвинения России: расставим точки над «и - NATO,7.01.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://novyny.live/ru/abroad/rossiia-trebuet-ot-ssha-zhelezobetonnykh-garantii-chto-ukraina-nikogda-ne-vstupit-v-nato-33878.html,33,33,"Россия требует от США ""железобетонных гарантий"", что ...",10.01.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://telegraf.com.ua/ukraina/politika/5654136-u-baydena-est-ogromnyiy-kozyir-pochemu-ukraina-nikogda-ne-stanet-chlenom-nato-i-eto-ustroit-vseh.html,34,34,У Байдена есть огромный козырь: почему Украина никогда ...,12.06.2021 г. —,1646349158
Украина никогда не станет членом НАТО,https://www.svoboda.org/a/strahi-putina-nam-chto-voevatj-s-blokom-nato/31682769.html,35,35,"Страхи Путина: ""Нам что, воевать с блоком НАТО?""",2.02.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://echo.msk.ru/programs/personalno/2984414-echo/,36,36,Максим Шевченко — Особое мнение - Эхо Москвы,преди 8 дни —,1646349158
Украина никогда не станет членом НАТО,https://riafan.ru/1612335-politolog-nato-ne-nuzhna-slabaya-ukraina-s-massoi-problem,37,37,НАТО не нужна слабая Украина с массой проблем,22.02.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://www.osnmedia.ru/world/na-ukraine-obyasnili-pochemu-strana-nikogda-ne-stanet-chlenom-nato/,38,38,"На Украине объяснили, почему страна никогда не станет ...",9.12.2021 г. —,1646349158
Украина никогда не станет членом НАТО,https://www.eg.ru/politics/1992872-kak-putin-pobedit-na-ukraine-opublikovan-scenariy/,39,39,Как Путин победит на Украине: опубликован сценарий,преди 4 дни —,1646349158
Украина никогда не станет членом НАТО,https://meduza.io/episodes/2021/04/12/ukraina-hochet-vstupit-v-nato-no-vo-pervyh-seychas-eto-trudno-kak-nikogda-vo-vtoryh-pohozhe-rossiya-mozhet-atakovat-odnu-stranu-nato-izbezhav-voyny-s-drugimi,40,40,"Украина хочет вступить в НАТО. Но, во-первых: сейчас это ...",12.04.2021 г. —,1646349158
Украина никогда не станет членом НАТО,https://360tv.ru/news/mir/on-nikogda-ne-proigryval-amerikanskoe-smi-ozhidaet-bystruju-pobedu-putina-na-ukraine/,41,41,американское СМИ ожидает быструю победу Путина на ...,преди 5 дни —,1646349158
Украина никогда не станет членом НАТО,https://inosmi.ru/20220227/ukraina-253217561.html,42,42,Newsweek (США): Путин не проиграл ни одной войны,преди 4 дни —,1646349158
Украина никогда не станет членом НАТО,https://argumenti.ru/world/2021/09/740064,43,43,Украина никогда не станет членом НАТО - Аргументы ...,25.09.2021 г. —,1646349158
Украина никогда не станет членом НАТО,https://csn-tv.ru/posts/id62956-forbes-sushestvuet-4-prichiny-iz-za-kotorykh-ukraina-nikogda-ne-stanet-chlenom-nato,44,44,"Forbes: существует 4 причины, из-за которых Украина ...",10.01.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://www.radiosvoboda.org/a/amerika-rossija-peregovory-ukraina-nato/31647759.html,45,45,«НАТО надо собирать манатки»: как должны реагировать ...,10.01.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://regnum.ru/news/3293222.html,46,46,"«Какое НАТО? Украина моргнуть не успеет, как ее не ...",10.06.2021 г. —,1646349158
Украина никогда не станет членом НАТО,https://sm.news/v-forbes-nazvali-4-prichiny-po-kotorym-ukraina-nikogda-ne-budet-vklyuchena-v-nato-55717/,47,47,Forbes: Украина никогда не станет членом НАТО из-за 4 ...,10.01.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://newtimes.ru/articles/detail/209163,48,48,Россия против всего мира - The New Times,22.02.2022 г. —,1646349158
Украина никогда не станет членом НАТО,https://nation-news.ru/636347-ukraina-nikogda-ne-stanet-chlenom-nato-alyans-ne-khochet-voevat-za-chuzhuyu-stranu,49,49,Украина никогда не станет членом НАТО: Альянс не хочет ...,21.06.2021 г. —,1646349158
