SearchQuery,URL,Score,Position,Title,Description,CreatedAt
Украинские военные отказываются от боевых действий,https://ren.tv/news/v-mire/944569-minoborony-ukrainskie-voennye-massovo-otkazyvaiutsia-ot-boevykh-deistvii,1,1,Украинские военные массово отказываются от боевых ...,преди 5 дни —,1646349159
Украинские военные отказываются от боевых действий,https://www.nur.kz/world/1958218-ukrainskie-voennye-massovo-otkazyvayutsya-ot-prodolzheniya-boevyh-deystviy-zayavili-v-minoborony-rossii/,2,2,Украинские военные массово отказываются от ... - NUR.KZ,преди 5 дни —,1646349159
Украинские военные отказываются от боевых действий,https://moscow-baku.ru/news/armiya/minoborony_rf_ukrainskie_voennye_massovo_otkazyvayutsya_ot_prodolzheniya_boevykh_deystviy/,3,3,Минобороны РФ: Украинские военные ... - Moscow-baku.ru,Минобороны РФ: Украинские военные массово отказываются от продолжения боевых действий. Москва-Баку. 27.02.2022 09:41.,1646349159
Украинские военные отказываются от боевых действий,https://www.kp.ru/online/news/4645331/,4,4,"В Минобороны РФ заявили, что украинские военные ...",преди 5 дни —,1646349159
Украинские военные отказываются от боевых действий,https://news.rambler.ru/army/48212641-minoborony-rf-ukrainskie-voennye-massovo-otkazyvayutsya-ot-prodolzheniya-boevyh-deystviy/,5,5,Минобороны РФ: украинские военные ... - Рамблер/новости,"Украинские военнослужащие массово отказываются от боевых действий ... Минобороны РФ сообщило, что российские военные не наносят удары по городам Украины, ...",1646349159
Украинские военные отказываются от боевых действий,http://radiovesti.ru/news/2682604/,6,6,Украинские военные массово отказываются от боевых ...,преди 4 дни —,1646349159
Украинские военные отказываются от боевых действий,https://smotrim.ru/article/2682701,7,7,"В Минобороны РФ заявили, что украинские военные ...",преди 4 дни —,1646349159
Украинские военные отказываются от боевых действий,https://www.bbc.com/russian/news-60568172,8,8,Новые боевые действия и ожидание переговоров: главные ...,преди 2 дни — Липсващи:,1646349159
Украинские военные отказываются от боевых действий,https://imag.one/news/v-minoborony-rf-zayavili-chto-ukrainskie/12095978,9,9,"В Минобороны РФ заявили, что украинские ... - iMag.one",преди 4 дни —,1646349159
Украинские военные отказываются от боевых действий,https://yandex.ru/news/story/Minoborony_RF_ukrainskie_voennye_massovo_otkazyvayutsya_otprodolzheniya_boevykh_dejstvij--dc5c10d421612401d364de110b2f2231?persistent_id=182399358,10,10,Минобороны РФ заявило о массовом отказе ... - Яндекс,преди 5 дни —,1646349159
Украинские военные отказываются от боевых действий,https://www.gazeta.ru/politics/2022/02/27/14581639.shtml,11,11,Операция на Украине. Хроника четвертого дня - Газета.Ru,преди 4 дни —,1646349159
Украинские военные отказываются от боевых действий,https://bk55.ru/news/article/199441/,12,12,Военная операция на Украине: 1 марта - БК55,преди 3 дни —,1646349159
Украинские военные отказываются от боевых действий,https://online47.ru/2022/02/27/minoborony-rf-ukrainskie-voennosluzhashchie-massovo-otkazyvayutsya-ot-prodolzheniya-boevykh-deystviy-149489,13,13,Минобороны РФ: Украинские военнослужащие массово ...,преди 5 дни —,1646349159
Украинские военные отказываются от боевых действий,https://iz.ru/1297594/2022-02-27/bolee-470-voennykh-ukrainy-dobrovolno-slozhili-oruzhie-pod-kharkovom,14,14,Более 470 военных Украины добровольно сложили ...,преди 5 дни —,1646349159
Украинские военные отказываются от боевых действий,https://www.youtube.com/watch?v=rd1BWA3_1rY,15,15,Украинские военные массово отказываются от ... - YouTube,преди 5 дни —,1646349159
Украинские военные отказываются от боевых действий,https://www.9111.ru/questions/7777777771757246/,16,16,"Военная операция на Украине, последние новости 28 ...",преди 4 дни —,1646349159
Украинские военные отказываются от боевых действий,https://actualcomment.ru/spetsoperatsiya-rossii-na-ukraine-khronika-sobytiy-2202281727.html,17,17,Спецоперация России на Украине: хроника событий,преди 3 дни —,1646349159
Украинские военные отказываются от боевых действий,https://focus.ua/voennye-novosti/508304-vtorzhenie-rossii-v-ukrainu-situaciya-na-fronte-karta,18,18,Вторжение России в Украину: ситуация на фронте (карта),преди 1 ден —,1646349159
Украинские военные отказываются от боевых действий,https://360tv.ru/news/army/minoborony-rf-zajavilo-o-massovom-otkaze-ukrainskih-silovikov-ot-voennyh-dejstvij/,19,19,Минобороны РФ заявило о массовом отказе украинских ...,преди 5 дни —,1646349159
Украинские военные отказываются от боевых действий,https://www.tvc.ru/news/show/id/234112,20,20,Россия четвертый день проводит военную спецоперацию ...,преди 5 дни —,1646349159
Украинские военные отказываются от боевых действий,https://www.kazakhstan.shafaqna.com/KZ/AL/1539939,21,21,Украинские военные массово отказываются от продолжения ...,"В министерстве обороны РФ заявили, что украинские военнослужащие массово отказываются от продолжения боевых действий. Read on the original site. Latest News ...",1646349159
Украинские военные отказываются от боевых действий,https://books.google.bg/books?id=0LSvCQAAQBAJ&pg=PA5&lpg=PA5&dq=%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B5+%D0%B2%D0%BE%D0%B5%D0%BD%D0%BD%D1%8B%D0%B5+%D0%BE%D1%82%D0%BA%D0%B0%D0%B7%D1%8B%D0%B2%D0%B0%D1%8E%D1%82%D1%81%D1%8F+%D0%BE%D1%82+%D0%B1%D0%BE%D0%B5%D0%B2%D1%8B%D1%85+%D0%B4%D0%B5%D0%B9%D1%81%D1%82%D0%B2%D0%B8%D0%B9&source=bl&ots=fIvU7odoA7&sig=ACfU3U3ox6R8YEgt-H4m10xX8Q3kI5qJBA&hl=bg&sa=X&ved=2ahUKEwjtsKDGiKv2AhVnxIsKHX0HAjMQ6AF6BQj6ARAD,22,22,Комсомольская Правда. Москва 88ч,,1646349159
Украинские военные отказываются от боевых действий,https://amp.rbc.ru/rbcnews/society/02/03/2022/621f9ee29a79472076aad579,23,23,Минобороны назвало потери России и Украины в ... - РБК,преди 1 ден —,1646349159
Украинские военные отказываются от боевых действий,https://forbes.ua/ru/news/putin-ogolosiv-pro-pochatok-viyskovoi-operatsii-na-donbasi-ta-proignoruvav-zvernennya-zelenskogo-golovni-novini-24022022-3843,24,24,"Хроника войны, день второй: битва за Украину. Только ...",преди 6 дни —,1646349159
Украинские военные отказываются от боевых действий,https://7ooo-ru.livejournal.com/33091155.html,25,25,Минобороны РФ: украинские военные ... - LiveJournal,преди 5 дни —,1646349159
