SearchQuery,URL,Score,Position,Title,Description,CreatedAt
укрофашисты,https://www.youtube.com/playlist?list=PLraKWl8Vm9sGd_PQPB7ginpwpxkGaYdoi,1,1,Укрофашисты - YouTube,,1646349160
укрофашисты,https://www.youtube.com/watch?v=czU9Cjh73fM,2,2,Эхо - YouTube,2.02.2022 г. —,1646349160
укрофашисты,https://www.youtube.com/playlist?list=PLyHh2qI5DDAO71DbgAbSCN-XmIxUKteZg,3,3,Укрофашисты «мовлять» - YouTube,,1646349160
укрофашисты,https://www.youtube.com/watch?v=MLcokczgkhk,4,4,Укрофашисты - YouTube,преди 6 дни —,1646349160
укрофашисты,https://pikabu.ru/tag/%D0%A3%D0%BA%D1%80%D0%BE%D1%84%D0%B0%D1%88%D0%B8%D1%81%D1%82%D1%8B/hot,5,5,"Укрофашисты: истории из жизни, советы ... - Пикабу","Читайте самые интересные и обсуждаемые посты по теме Укрофашисты. Личный опыт, познавательные статьи, забавные фото и видео. Или поделитесь своей историей с ...",1646349160
укрофашисты,https://www.meme-arsenal.com/en/create/chose?tag=%D1%83%D0%BA%D1%80%D0%BE%D1%84%D0%B0%D1%88%D0%B8%D1%81%D1%82%D1%8B,6,6,укрофашисты - Create meme - Meme-arsenal.com,,1646349160
укрофашисты,https://regnum.ru/news/3248419.html,7,7,«Укрофашисты угробили всё» — РФ сделает из Украины ...,20.04.2021 г. —,1646349160
укрофашисты,https://vk.com/club85842604,8,8,УКРОФАШИСТЫ или ВРАГИ ДОНБАССА!!!! | ВКонтакте,,1646349160
укрофашисты,https://anna-news.info/ukrofashisty-razrushili-bolee-6000-domov/,9,9,Укрофашисты разрушили более 6000 домов - ANNA-News,24.03.2017 г. —,1646349160
укрофашисты,https://ru.wiktionary.org/wiki/%D1%83%D0%BA%D1%80%D0%BE%D1%84%D0%B0%D1%88%D0%B8%D1%81%D1%82,10,10,укрофашист - Викисловарь,"Им. укрофаши́ст, укрофаши́сты. Р. укрофаши́ста, укрофаши́стов. Д. укрофаши́сту, укрофаши́стам. В. укрофаши́ста, укрофаши́стов.",1646349160
укрофашисты,https://mobile.twitter.com/LeoMamburu/status/1495083550596636675,11,11,"Pavel Artemyevich Vereshchagin on Twitter: ""https://t.co ...СвійСередСвоїх on Twitter: ""@golub @Zvlad2005 В Донецке ...","19.02.2022 г. — В Донецке, перед Евро2012, проклятые укрофашисты, бандеровцы и каратели тоже не плохо их причепурили. Image. 9:56 AM · Jul 8, 2017·Twitter for Android.",1646349160
