SearchQuery,URL,Score,Position,Title,Description,CreatedAt
унизительный удар по Западу,https://ria.ru/20220227/ukraina-1775323215.html,1,1,Newsweek об операции на Украине: Путин никогда не ...,преди 5 дни —,1646349161
унизительный удар по Западу,https://vz.ru/news/2022/2/27/1145949.html,2,2,В США предсказали «унизительный удар» России по Западу,преди 5 дни —,1646349161
унизительный удар по Западу,https://rueconomics.ru/566561-zhurnalisty-newsweek-rasskazali-kak-putin-naneset-unizitelnyi-udar-po-zapadu,3,3,"Журналисты Newsweek рассказали, как Путин нанесет",преди 5 дни —,1646349161
унизительный удар по Западу,https://russian.rt.com/inotv/2022-03-01/Newsweek-Putin-vsegda-pobezhdal-i,4,4,"Newsweek: Путин всегда побеждал, и Украина не ... - RT",преди 3 дни —,1646349161
унизительный удар по Западу,https://www.gazeta.ru/politics/2022/02/26/14579341.shtml,5,5,Операция на Украине. Хроника третьего дня - Газета.Ru,преди 5 дни —,1646349161
унизительный удар по Западу,https://regnum.ru/news/3518402.html,6,6,Путин не проиграл еще ни одной войны — Newsweek - ИА ...,преди 5 дни —,1646349161
унизительный удар по Западу,https://www.youtube.com/watch?v=wJUknUAnIhU,7,7,Унизительный удар Путина по Западу! ФРГ первой падет ...,преди 4 дни —,1646349161
унизительный удар по Западу,https://1prime.ru/state_regulation/20220227/836188848.html,8,8,"Американский журнал напомнил, что ""Путин никогда не ...",преди 5 дни —,1646349161
унизительный удар по Западу,https://360tv.ru/news/mir/on-nikogda-ne-proigryval-amerikanskoe-smi-ozhidaet-bystruju-pobedu-putina-na-ukraine/,9,9,американское СМИ ожидает быструю победу Путина на ...,преди 5 дни —,1646349161
унизительный удар по Западу,https://news.ru/world/newsweek-putin-prezhde-ne-proigryval/,10,10,Newsweek: Путин прежде не проигрывал - NEWS.ru,преди 5 дни —,1646349161
унизительный удар по Западу,https://smi2.ru/article/119547297/story,11,11,В США предсказали «унизительный удар» России по Западу,преди 5 дни —,1646349161
унизительный удар по Западу,https://yandex.ru/news/instory/Newsweek_operaciya_vDonbasse_mozhet_konchitsya_bystroj_pobedoj_Rossii--ebeec25508e5c30cff1f8ee7544f330c?lr=20765&content=alldocs&stid=iFORStzIVS68Tbm4&persistent_id=182396311&from=story,12,12,Newsweek: операция в Донбассе может кончиться быстрой ...,"Если переговоры между Россией и Украиной состоятся, Москва сможет вывести войска и положит конец конфликту, нанеся при этом «унизительный удар» по Западу.",1646349161
унизительный удар по Западу,https://www.tvc.ru/news/show/id/234117,13,13,Глава МИД Британии испытала шок от спецоперации ...,преди 5 дни —,1646349161
унизительный удар по Западу,https://inosmi.ru/20220227/ukraina-253217561.html,14,14,Newsweek (США): Путин не проиграл ни одной войны,преди 4 дни —,1646349161
унизительный удар по Западу,https://www.eg.ru/politics/1992872-kak-putin-pobedit-na-ukraine-opublikovan-scenariy/,15,15,Как Путин победит на Украине: опубликован сценарий,преди 4 дни —,1646349161
унизительный удар по Западу,https://utro.ru/news/ukraine/2022/02/27/1506316.shtml,16,16,"Россия может нанести ""унизительный удар"" по Западу",преди 5 дни —,1646349161
унизительный удар по Западу,https://ne-np.facebook.com/nextvchannel/posts/1671643623203338,17,17,"Next TV - ""Путин никогда не проигрывал войны. Вот как он...","если переговоры между Россией и Украиной состоятся, Москва выведет войска и положит конфликту конец, нанеся при этом ""унизительный удар"" по Западу",1646349161
унизительный удар по Западу,https://newizv.ru/news/politics/27-02-2022/newsweek-prezident-putin-ne-proigral-ni-odnoy-voyny,18,18,Newsweek: «Президент Путин не проиграл ни одной войны»,преди 5 дни —,1646349161
унизительный удар по Западу,https://vologda-poisk.ru/people-news/%D1%80%D0%B0%D1%81%D1%81%D1%83%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F-%D0%BD%D0%B0-%D1%82%D0%B5%D0%BC%D1%83/putin-nikogda-ne-proigryval-voyny-vot-kak-on-pobedit-na-ukraine,19,19,Путин никогда не проигрывал войны. Вот как он победит ...,преди 5 дни —,1646349161
унизительный удар по Западу,https://vpk.name/library/georgia.html,20,20,Новости Грузия - ВПК.nameНовости Сирия - ВПК.name,"Если переговоры между Россией и Украиной состоятся, Москва сможет вывести войска и положит конец конфликту, при этом нанесет ""унизительный удар"" по Западу.преди 2 дни —",1646349161
унизительный удар по Западу,http://www.kamenec.by/%D0%BF%D1%83%D1%82%D0%B8%D0%BD-%D0%BD%D0%B8%D0%BA%D0%BE%D0%B3%D0%B4%D0%B0-%D0%BD%D0%B5-%D0%BF%D1%80%D0%BE%D0%B8%D0%B3%D1%80%D1%8B%D0%B2%D0%B0%D0%BB-%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B-%D0%B2%D0%BE%D1%82/,21,21,«Путин никогда не проигрывал войны. Вот как он победит в ...,"если переговоры между Россией и Украиной состоятся, Москва выведет войска и положит конфликту конец, нанеся при этом «унизительный удар» по Западу.",1646349161
унизительный удар по Западу,https://rusojuz.lv/newsweek-ssha-putin-nikogda-ne-proigryval-vojny-vot-kak-on-pobedit-na-ukraine/,22,22,newsweek (сша): путин никогда не проигрывал войны. вот ...,преди 4 дни —,1646349161
унизительный удар по Западу,https://www.pravda.ru/news/politics/1686308-putin_ne_proigral_esche_ni_odnoi_voiny/,23,23,Путин не проиграл ещё ни одной войны — Newsweek,преди 5 дни —,1646349161
унизительный удар по Западу,https://www.9111.ru/questions/7777777771754683/,24,24,Путин никогда не проигрывал войны. - Юридическая ...,преди 5 дни —,1646349161
унизительный удар по Западу,https://politexpert.net/277342-newsweek-sprognoziroval-pobedu-putina-na-ukraine,25,25,Newsweek спрогнозировал победу Путина на Украине,преди 5 дни —,1646349161
унизительный удар по Западу,https://ru.wikipedia.org/wiki/%D0%91%D1%80%D0%B5%D1%81%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D0%BC%D0%B8%D1%80,26,26,Брестский мир - Википедия,"Бре́стский мир — сепаратный мирный договор, подписанный 3 марта 1918 года в городе ... К западу от «линии Гофмана» проживало 56 миллионов человек (около трети ...",1646349161
унизительный удар по Западу,https://www.bbc.com/russian/features-43340875,27,27,Пресса Британии: шесть версий отравления Сергея ... - BBC,9.03.2018 г. —,1646349161
унизительный удар по Западу,https://mediametrics.ru/rating/ru/media/online.html/hour.html?article=158658346,28,28,соцсети [Россия] ^ MediaMetrics: свежие котировки новостей,"Взрыв в Ровеньках произошел из-за ракетного удара ВСУ, подтвердили в ЛНР18 ... В США предсказали «унизительный удар» России по Западу8.",1646349161
унизительный удар по Западу,https://www.e1.ru/text/economics/2022/02/27/70473395/comments/,29,29,о ценах на продукты в РФ из-за военной операции на ...,преди 4 дни —,1646349161
унизительный удар по Западу,https://books.google.bg/books?id=zCfhye0blpkC&pg=PA51&lpg=PA51&dq=%D1%83%D0%BD%D0%B8%D0%B7%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D1%83%D0%B4%D0%B0%D1%80+%D0%BF%D0%BE+%D0%97%D0%B0%D0%BF%D0%B0%D0%B4%D1%83&source=bl&ots=ugi6PT-UhD&sig=ACfU3U2IunBIUtOgAEYKnhNVK6wWE_hH0w&hl=bg&sa=X&ved=2ahUKEwi_9JnHiKv2AhWQmIsKHRGiC08Q6AF6BAgSEAM,30,30,Двойной заговор: Тайны сталинских репрессий,,1646349161
унизительный удар по Западу,https://nk.org.ua/geopolitika/newsweek-putin-vsegda-pobezhdal-i-ukraina-ne-stanet-iskliucheniem-00607072,31,31,"Newsweek: Путин всегда побеждал, и Украина не станет ...",преди 2 дни —,1646349161
унизительный удар по Западу,https://vk.com/id168699879,32,32,Александр Меркулов | ВКонтакте,преди 6 дни —,1646349161
унизительный удар по Западу,https://ytro.news/news/life/2021/06/28/1485639.shtml,33,33,Календарь садовода на неделю с 28 июня по 4 июля,28.06.2021 г. —,1646349161
унизительный удар по Западу,http://duma.gov.ru/media/files/ysHMv4XGsIRLOXBnBDbKSEA5yh4JbSF4.pdf,34,34,ГОСУДАРСТВЕННАЯ ДУМА - Стенограмма заседаний,"в Пёрл Харборе. Это день унизительный, американцы хотели даже его объявить днём национального ... ветный удар по Западу, разрушив инфраструктуру. Возможно,.",1646349161
унизительный удар по Западу,https://forum.littleone.ru/showthread.php?t=8560942&page=2314,35,35,Ситуация на Украине - Страница 2314 - Littleone,преди 5 дни —,1646349161
унизительный удар по Западу,https://books.google.bg/books?id=FnYUEAAAQBAJ&pg=PR182&lpg=PR182&dq=%D1%83%D0%BD%D0%B8%D0%B7%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D1%83%D0%B4%D0%B0%D1%80+%D0%BF%D0%BE+%D0%97%D0%B0%D0%BF%D0%B0%D0%B4%D1%83&source=bl&ots=tpZMm5wCqp&sig=ACfU3U0glcO4VSDLU86_ffI5TJ81bBk-xA&hl=bg&sa=X&ved=2ahUKEwi_9JnHiKv2AhWQmIsKHRGiC08Q6AF6BAgREAM,36,36,Стамбул. Сказка о трех городах,,1646349161
унизительный удар по Западу,https://everything.kz/article/58030919-putin-nikogda-ne-proigryval-voiny-vot-kak-on-pobedit-na-ukraine-takuyu-statyu-vypustil-newsweek,37,37,"""Путин никогда не проигрывал войны. Вот как он победит ...",преди 5 дни —,1646349161
