SearchQuery,URL,Score,Position,Title,Description,CreatedAt
Вооружённый конфликт на востоке Украины,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%BE%D1%80%D1%83%D0%B6%D1%91%D0%BD%D0%BD%D1%8B%D0%B9_%D0%BA%D0%BE%D0%BD%D1%84%D0%BB%D0%B8%D0%BA%D1%82_%D0%BD%D0%B0_%D0%B2%D0%BE%D1%81%D1%82%D0%BE%D0%BA%D0%B5_%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%8B,1,1,Вооружённый конфликт на востоке Украины - ВикипедияХронология вооружённого конфликта на востоке Украины,"Украинская добровольческая армия (УДА) — вооружённое формирование, состоящее преимущественно из входивших в ДУК-ПС сторонников Дмитрия Яроша, покинувших вместе ...Дата : Статус : В статье представлена хронология вооружённого конфликта на восто́ке Украи́ны — боевых действий на территории Донецкой и Луганской областей Украины, ...",1646355063
Вооружённый конфликт на востоке Украины,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%BE%D1%80%D1%83%D0%B6%D1%91%D0%BD%D0%BD%D1%8B%D0%B9_%D0%BA%D0%BE%D0%BD%D1%84%D0%BB%D0%B8%D0%BA%D1%82_%D0%BD%D0%B0_%D0%B2%D0%BE%D1%81%D1%82%D0%BE%D0%BA%D0%B5_%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%8B,2,2,Вооружённый конфликт на востоке Украины - Википедия,"Украинская добровольческая армия (УДА) — вооружённое формирование, состоящее преимущественно из входивших в ДУК-ПС сторонников Дмитрия Яроша, покинувших вместе ...Дата : Статус :",1646355063
Вооружённый конфликт на востоке Украины,https://ria.ru/event_War_in_Donbass/,3,3,Вооруженный конфликт на востоке Украины - РИА Новости,Вооруженный конфликт на востоке Украины. Читайте последние новости на тему в ленте новостей на сайте РИА Новости. Один человек погиб и девять ранены в ...,1646355063
Вооружённый конфликт на востоке Украины,https://eurasia.amnesty.org/2022/01/28/vooruzhyonnyj-konflikt-rossii-i-ukrainy-budet-imet-razrushitelnye-posledstviya-dlya-prav-millionov-lyudej-amnesty-international/,4,4,Вооружённый конфликт России и Украины будет иметь ...,28 janv. 2022 —,1646355063
Вооружённый конфликт на востоке Украины,https://iz.ru/story/situatciia-na-iugo-vostoke-ukrainy,5,5,Ситуация в Донбассе | Сюжеты | Известия,"... на Украине. При этом в сложившейся ситуации Киев винит Москву. Россия неоднократно заявляла, что не является стороной внутриукраинского конфликта.",1646355063
Вооружённый конфликт на востоке Украины,https://www.youtube.com/watch?v=vT6KfsrU4cA,6,6,С чего начался конфликт на Украине: протесты в Донецке ...,Подпишитесь на канал РБК:https://www.youtube.com/user/tvrbcnews?sub_confirmation=1---------------------Вооруженный ...,1646355063
Вооружённый конфликт на востоке Украины,https://tass.ru/info/1547347,7,7,История конфликта на юго-востоке Украины. Досье,"6 апреля 2014 года жители юго-востока Украины, несогласные с политикой новых властей (22 февраля в результате острого политического кризиса в стране произошел ...",1646355063
Вооружённый конфликт на востоке Украины,https://www.bbc.com/russian/news-59607070,8,8,"""Глупо думать, что война ограничится одной нацией ...",,1646355063
Вооружённый конфликт на востоке Украины,https://www.hrw.org/ru/news/2022/02/28/381247,9,9,"Россия, Украина и международное право: оккупация ...",,1646355063
Вооружённый конфликт на востоке Украины,http://wp.wiki-wiki.ru/wp/index.php/%D0%92%D0%BE%D0%BE%D1%80%D1%83%D0%B6%D1%91%D0%BD%D0%BD%D1%8B%D0%B9_%D0%BA%D0%BE%D0%BD%D1%84%D0%BB%D0%B8%D0%BA%D1%82_%D0%BD%D0%B0_%D0%B2%D0%BE%D1%81%D1%82%D0%BE%D0%BA%D0%B5_%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%8B,10,10,Вооружённый конфликт на востоке Украины — Википедия,"Вооружённый конфликт на восто́ке Украи́ны — боевые действия на территории Донецкой и Луганской областей Украины, начавшиеся в апреле 2014 года.",1646355063
Вооружённый конфликт на востоке Украины,https://magazines.gorky.media/ural/2015/1/donbasskij-razlom-prichiny-sut-itogi-konflikta-na-yugo-vostoke-ukrainy.html,11,11,"причины, суть, итоги конфликта на Юго-Востоке Украины","Донбасский разлом: причины, суть, итоги конфликта на Юго-Востоке Украины. Опубликовано в журнале Урал, номер 1, 2015. Скопировать ссылку. Скопировано ...",1646355063
Вооружённый конфликт на востоке Украины,https://ru.wikiquote.org/wiki/%D0%92%D0%BE%D0%BE%D1%80%D1%83%D0%B6%D1%91%D0%BD%D0%BD%D1%8B%D0%B9_%D0%BA%D0%BE%D0%BD%D1%84%D0%BB%D0%B8%D0%BA%D1%82_%D0%BD%D0%B0_%D0%B2%D0%BE%D1%81%D1%82%D0%BE%D0%BA%D0%B5_%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%8B,12,12,Вооружённый конфликт на востоке Украины - Викицитатник,"Вооружённый конфликт на восто́ке Украи́ны — боевые действия на территории Донецкой и Луганской областей Украины, начавшиеся в апреле 2014 года.",1646355063
Вооружённый конфликт на востоке Украины,https://news.un.org/ru/story/2022/02/1417782,13,13,Неизгладимые шрамы вооруженного конфликта на ...,5 févr. 2022 —,1646355063
Вооружённый конфликт на востоке Украины,https://cyberleninka.ru/article/n/vooruzhennyy-konflikt-na-yugo-vostoke-ukrainy-pravovaya-kvalifikatsiya-i-posledstviya,14,14,ВООРУЖЕННЫЙ КОНФЛИКТ НА ЮГО-ВОСТОКЕ УКРАИНЫ,de ПП Кремнев · 2019 · Cité 2 fois —,1646355063
Вооружённый конфликт на востоке Украины,https://www.diplomatie.gouv.fr/ru/vneshnyaya-politika/bezopasnost-razoruzhenie-i-neraspostranenie/crises-et-conflits/ukraine/,15,15,Ситуация в Украине,,1646355063
Вооружённый конфликт на востоке Украины,https://wiki2.org/ru/%D0%92%D0%BE%D0%BE%D1%80%D1%83%D0%B6%D1%91%D0%BD%D0%BD%D1%8B%D0%B9_%D0%BA%D0%BE%D0%BD%D1%84%D0%BB%D0%B8%D0%BA%D1%82_%D0%BD%D0%B0_%D0%B2%D0%BE%D1%81%D1%82%D0%BE%D0%BA%D0%B5_%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%8B,16,16,Вооружённый конфликт на востоке Украины — Википедия ...,"Вооружённый конфли́кт на восто́ке Украи́ны — боевые действия на территории Донецкой и Луганской областей Украины, начавшиеся в апреле 2014 года.",1646355063
Вооружённый конфликт на востоке Украины,https://wiki.moda/%D0%92%D0%BE%D0%BE%D1%80%D1%83%D0%B6%D1%91%D0%BD%D0%BD%D1%8B%D0%B9_%D0%BA%D0%BE%D0%BD%D1%84%D0%BB%D0%B8%D0%BA%D1%82_%D0%BD%D0%B0_%D0%B2%D0%BE%D1%81%D1%82%D0%BE%D0%BA%D0%B5_%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%8B,17,17,Вооружённый конфликт на востоке Украины - свободная ...,"Вооружённый конфликт на востоке Украины ; 10 303 погибших, 24 778 пострадавших (на 17 ноября 2017) · 1,5 млн бежавших в другие страны (на ноябрь 2016) · Commons- ...",1646355063
Вооружённый конфликт на востоке Украины,https://www.rbc.ru/politics/05/12/2021/61a9f8c19a7947c7990dbc72,18,18,Эксперты оценили риск вооруженного конфликта на Украине,5 déc. 2021 —,1646355063
Вооружённый конфликт на востоке Украины,https://www.vesti.ru/article/2667966,19,19,ДНР заявила о переброске в регион РСЗО и танков ВСУ ...,25 janv. 2022 —,1646355063
Вооружённый конфликт на востоке Украины,https://www.gazeta.ru/politics/2014/08/16_a_6178393.shtml,20,20,Чем закончится вооруженный конфликт на востоке Украины,18 août 2014 —,1646355063
Вооружённый конфликт на востоке Украины,"https://www.euro.who.int/ru/health-topics/health-emergencies/ukraines-humanitarian-crisis/multimedia/photo-story-portraits-from-ukraines-conflict-line,-where-humanitarian-assistance-is-most-needed",21,21,Фоторепортаж – Портреты из зоны конфликта в Украине ...,"Вооруженный конфликт в Украине продолжается уже 4-ый год, и 3,4 миллиона человек в восточной части страны нуждаются в гуманитарной поддержке.",1646355063
Вооружённый конфликт на востоке Украины,https://artsandculture.google.com/entity/m010x6464?hl=ru,22,22,Вооружённый конфликт на востоке Украины - Google Arts ...,Вооружённый конфликт на востоке Украины. 6 апр. 2014 г. – ... Вооружённый конфли́кт на восто́ке Украи́ны — боевые действия на территории Донецкой и ...,1646355063
Вооружённый конфликт на востоке Украины,https://sputnik.by/event_War_in_Donbass/,23,23,Вооруженный конфликт на востоке Украины,"Читайте последние новости дня по теме Вооруженный конфликт на востоке Украины: Военная операция на Украине: российские войска под Херсоном (фото), ...",1646355063
Вооружённый конфликт на востоке Украины,https://www.ssc-ras.ru/ckfinder/userfiles/files/YUG_RUSSIA_2016_2_p1.pdf,24,24,ВОЕННЫЙ КОНФЛИКТ НА ВОСТОКЕ УКРАИНЫ - ЮНЦ РАН,2016 · Cité 5 fois —,1646355063
Вооружённый конфликт на востоке Украины,https://rus.ozodi.org/a/31717227.html,25,25,Российско-украинский конфликт: взгляд из Душанбе. ВИДЕО,22 févr. 2022 —,1646355063
Вооружённый конфликт на востоке Украины,https://tvrain.ru/teleshow/notes/v_ozhidanii_vtorzhenija_rossii_v_ukrainu_pochemu_vojna_vozmozhna_stsenarii_konflikta_sootnoshenie_sil_i_finansovaja_krepost_v_moskve-546100/,26,26,В ожидании вторжения России в Украину: почему война ...,25 janv. 2022 —,1646355063
Вооружённый конфликт на востоке Украины,https://www.opendemocracy.net/ru/kak-nachinalas-voina/,27,27,Как начиналась война на востоке Украины | openDemocracy,20 janv. 2016 —,1646355063
Вооружённый конфликт на востоке Украины,https://russian.rt.com/ussr/article/859741-pasechnik-lnr-situaciya-donbass,28,28,«Самая настоящая гражданская война»: глава ЛНР ... - RT,7 mai 2021 —,1646355063
Вооружённый конфликт на востоке Украины,https://www.ukrinform.ru/rubric-economy/3241195-vooruzennyj-konflikt-na-vostoke-kak-budet-provoditsa-reintegracia-donbassa-i-vo-skolko-obojdetsa-ukraine.html,29,29,Вооруженный конфликт на Востоке: как будет проводиться ...,6 mai 2021 —,1646355063
Вооружённый конфликт на востоке Украины,https://tj.sputniknews.ru/20210428/ukraine-donbass-voyna-1039104633.html,30,30,"Лавров рассказал, начнется ли война в Донбассе - Sputnik ...",28 avr. 2021 —,1646355063
Вооружённый конфликт на востоке Украины,https://ru.wikinews.org/wiki/%D0%9A%D0%B0%D1%82%D0%B5%D0%B3%D0%BE%D1%80%D0%B8%D1%8F:%D0%92%D0%BE%D0%BE%D1%80%D1%83%D0%B6%D1%91%D0%BD%D0%BD%D1%8B%D0%B9_%D0%BA%D0%BE%D0%BD%D1%84%D0%BB%D0%B8%D0%BA%D1%82_%D0%BD%D0%B0_%D0%B2%D0%BE%D1%81%D1%82%D0%BE%D0%BA%D0%B5_%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%8B,31,31,Категория:Вооружённый конфликт на востоке Украины,Внимание! Не удаляйте категорию! Это служебная категория для сбора перенаправлений на категории. Страницы в категории «Вооружённый конфликт на востоке Украины».,1646355063
Вооружённый конфликт на востоке Украины,https://www.austausch.org/files/DRA/Publikationen/Mdienmonitoring_Donbass.pdf,32,32,Вооруженный конфликт на Донбассе в российских газетах,Цель данного мониторинга1 – выявить особенности ос- вещения конфликта на востоке Украины в некоторых их наиболее известных печатных изданий Российской.,1646355063
Вооружённый конфликт на востоке Украины,https://hromadske.ua/ru/posts/boevye-deistvyia-na-donbasse-mohut-kvalyfytsyrovat-kak-mezhdunarodnyi-konflykt-doklad-prokurora-mus,33,33,Боевые действия на Донбассе могут квалифицировать как ...,"Владелец самолета, взятого украинской авиакомпанией SkyUp в лизинг, ... международного вооруженного конфликта на востоке Украины предусматривает применение ...",1646355063
