SearchQuery,URL,Score,Position,Title,Description,CreatedAt
военные действия со стороны киевского режима,https://www.bbc.com/russian/live/news-60355872,1,1,"Война России с Украиной: хроника событий 24 февраля - 1 ...""Мы ждали этого восемь лет"": что на российском ТВ ...",Termes manquants :,1646355073
военные действия со стороны киевского режима,https://www.dw.com/ru/%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0-%D0%B2-%D1%83%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D0%B5-%D0%BA%D0%B8%D0%B5%D0%B2-%D1%80%D0%B0%D0%B7%D1%80%D1%8B%D0%B2%D0%B0%D0%B5%D1%82-%D0%B4%D0%B8%D0%BF%D0%BB%D0%BE%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5-%D0%BE%D1%82%D0%BD%D0%BE%D1%88%D0%B5%D0%BD%D0%B8%D1%8F-%D1%81-%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%BE%D0%B9/a-60893356-0,2,2,Война в Украине: Киев разрывает дипломатические ...,il y a 8 jours —,1646355073
военные действия со стороны киевского режима,https://www.rbc.ru/politics/01/03/2022/62074b119a7947b0e49b36f7,3,3,Военная операция на Украине. Главное - РБК,il y a 2 jours —,1646355073
военные действия со стороны киевского режима,https://lenta.ru/news/2022/02/28/kiev/,4,4,В Минобороны заявили о конце угроз в адрес России со ...,il y a 3 jours —,1646355073
военные действия со стороны киевского режима,https://ria.ru/20220228/voyna-1775595330.html,5,5,Минобороны отвергло обвинение в развязывании ...,il y a 3 jours —,1646355073
военные действия со стороны киевского режима,https://sputnik-abkhazia.ru/20220228/minoborony-rossiya-polozhit-konets-ugrozam-so-storony-kievskogo-rezhima-1037845750.html,6,6,Минобороны: Россия положит конец угрозам со стороны ...,il y a 3 jours —,1646355073
военные действия со стороны киевского режима,https://www.lrt.lt/ru/novosti/17/1627737/khronika-voiny-sputnikovye-snimki-zafiksirovali-dvizhenie-soten-rossiiskikh-tankov-v-storonu-kieva,7,7,Хроника войны: спутниковые снимки зафиксировали ...,,1646355073
военные действия со стороны киевского режима,https://www.kommersant.ru/doc/5229799,8,8,Что происходило после ввода войск России на Украину 24 ...,il y a 8 jours —,1646355073
военные действия со стороны киевского режима,https://www.ekhokavkaza.com/a/31721379.html,9,9,"Сегодня, в пять часов утра… - Эхо Кавказа",il y a 8 jours —,1646355073
военные действия со стороны киевского режима,https://www.gazeta.ru/army/2022/02/24/14570923.shtml,10,10,Специальная военная операция России в Донбассе ...Операция на Украине. Хроника третьего дня - Газета.Ru,il y a 7 jours — il y a 5 jours —,1646355073
военные действия со стороны киевского режима,https://www.interfax.ru/world/825194,11,11,"Минобороны заявило, что Россия не начинала военные ...",il y a 3 jours —,1646355073
военные действия со стороны киевского режима,https://www.irk.ru/news/20220301/results/,12,12,Итоги военной операции России на Украине за 28 февраля,il y a 3 jours —,1646355073
военные действия со стороны киевского режима,https://lv.sputniknews.ru/20220228/ukraina-goroda-pod-kontrolem-armii-rf-zhivut-obychnoy-zhiznyu-kiev-arestovyvaet-merov-20681271.html,13,13,Украина: города под контролем армии РФ живут обычной ...,il y a 4 jours —,1646355073
военные действия со стороны киевского режима,https://regnum.ru/news/3483431.html,14,14,Антироссийская провокация: Киев готовит наступление на ...,"В Донбассе заявили о готовности Киева развязать активные боевые действия. ... Россия не исключает военных провокаций со стороны США и киевского режима, ...",1646355073
военные действия со стороны киевского режима,https://newsru.co.il/world/24feb2022/war_101.html,15,15,"Война в Украине: взрывы в Киеве, Харькове, Одессе и ...",il y a 8 jours —,1646355073
военные действия со стороны киевского режима,https://crimea-news.com/society/2022/02/28/896640.html,16,16,Минобороны: РФ положит конец угрозам в ее адрес со ...,il y a 3 jours —,1646355073
военные действия со стороны киевского режима,https://tass.ru/armiya-i-opk/13899009,17,17,"В Минобороны заявили, что в операции на Украине ... - ТАСС",il y a 4 jours —,1646355073
военные действия со стороны киевского режима,https://realnoevremya.ru/articles/242672-minoborony-rossii-rossiya-ne-nachinala-voennye-deystviya,18,18,Минобороны: «Россия не начинала военные действия ...,il y a 3 jours —,1646355073
военные действия со стороны киевского режима,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B9%D0%BD%D0%B0_%D0%B2_%D0%94%D0%BE%D0%BD%D0%B1%D0%B0%D1%81%D1%81%D0%B5,19,19,Война в Донбассе - Википедия,"Война в Донбассе, или вооружённый конфли́кт на восто́ке Украи́ны — боевые действия на ... с одной стороны и вооружёнными формированиями повстанцев (в основном ...",1646355073
военные действия со стороны киевского режима,https://www.aa.com.tr/ru/%D0%BC%D0%B8%D1%80/%D1%80%D0%BE%D1%81%D1%81%D0%B8%D1%8F-%D0%BD%D0%B0%D1%87%D0%B0%D0%BB%D0%B0-%D0%B2%D0%BE%D0%B5%D0%BD%D0%BD%D0%BE%D0%B5-%D0%B2%D1%82%D0%BE%D1%80%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5-%D0%B2-%D1%83%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%83/2511981,20,20,Россия начала военное вторжение в Украину - Anadolu ...,il y a 8 jours —,1646355073
военные действия со стороны киевского режима,https://www.vedomosti.ru/politics/articles/2022/02/24/910652-putin-obyavil-o-nachale-voennoi-operatsii-v-donbasse,21,21,Путин объявил о начале специальной военной операции в ...,il y a 8 jours —,1646355073
военные действия со стороны киевского режима,https://vrntimes.ru/articles/analitika/voronezhskie-eksperty-vyskazalis-o-specialnoy-voennoy-operacii-rf-na-territorii,22,22,Воронежские эксперты высказались о специальной ...,il y a 8 jours —,1646355073
