SearchQuery,URL,Score,Position,Title,Description,CreatedAt
вывести войска с территории Украины,https://tass.ru/mezhdunarodnaya-panorama/13930871,1,1,Генассамблея ООН рассмотрит резолюцию с требованием ...,il y a 2 jours —,1646355082
вывести войска с территории Украины,https://www.currenttime.tv/a/un-russia-ukraine/31732764.html,2,2,Генассамблея ООН призвала Россию прекратить военные ...,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://www.vedomosti.ru/politics/news/2022/03/02/911761-genassambleya-oon-potrebovala-ot-rossii-vivesti-voiska-iz-ukraini,3,3,Генассамблея ООН потребовала от России ... - Ведомости,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://snob.ru/news/generalnaya-assambleya-oon-potrebovala-ot-rossii-vyvesti-vojska-s-territorii-ukrainy/,4,4,Генассамблея ООН потребовала от России вывести ... - Сноб,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://www.dw.com/ru/genassambleja-oon-trebuet-ot-rf-nemedlenno-vyvesti-vojska-iz-ukrainy/a-60992338,5,5,Генассамблея ООН требует от РФ вывести войска из ...,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://www.forbes.ru/society/457839-genassamblea-oon-potrebovala-ot-rossii-vyvesti-vojska-iz-ukrainy,6,6,Генассамблея ООН потребовала от России ... - Forbes.ru,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://vlast.kz/novosti/48966-genassamblea-oon-potrebovala-ot-rossii-vyvesti-vojska-iz-ukrainy.html,7,7,Генассамблея ООН потребовала от России ... - Vlast.kz,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://meduza.io/news/2022/03/02/genassambleya-oon-prinyala-rezolyutsiyu-s-trebovaniem-vyvesti-rossiyskie-voyska-iz-ukrainy-protiv-golosovali-tolko-rf-belarus-siriya-kndr-i-eritreya,8,8,Генассамблея ООН приняла резолюцию с требованием ...,,1646355082
вывести войска с территории Украины,https://www.severreal.org/a/genassambleya-oon-potrebovala-ot-rossii-vyvesti-voyska-iz-ukrainy/31732708.html,9,9,Генассамблея ООН потребовала от ... - Север Реалии,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://www.pravda.com.ua/rus/news/2022/03/2/7327544/,10,10,Генассамблея ООН осудила вторжение России и призвала ...,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://www.mk.ru/politics/2022/03/02/genassambleya-oon-potrebovala-u-rossii-vyvesti-voyska-iz-ukrainy.html,11,11,Генассамблея ООН потребовала у России вывести войска ...,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://www.ekhokavkaza.com/a/genassambleya-oon-prizvala-rossiyu-nemedlenno-vyvesti-voyska-iz-ukrainy/31732759.html,12,12,Генассамблея ООН призвала Россию ... - Эхо Кавказа,il y a 1 jour —,1646355082
вывести войска с территории Украины,https://ria.ru/20220228/ukraina-1775519606.html,13,13,Украина на переговорах призовет вывести российские ...,il y a 4 jours —,1646355082
вывести войска с территории Украины,https://iz.ru/1296608/2022-02-25/v-es-prizvali-rossiiu-vyvesti-voiska-iz-ukrainy,14,14,В ЕС призвали Россию вывести войска из Украины | Новости,il y a 7 jours —,1646355082
вывести войска с территории Украины,https://day.kyiv.ua/ru/news/020322-genassambleya-oon-prinyala-rezolyuciyu-trebuyushchuyu-ot-rf-nemedlenno-vyvesti-voyska-iz,15,15,Генассамблея ООН приняла резолюцию ... - Газета «День»,il y a 1 jour —,1646355082
