SearchQuery,URL,Score,Position,Title,Description,CreatedAt
ВСУ СДАЮТСЯ,https://www.unian.net/war/rossiyane-vse-chashche-sdayutsya-v-plen-sbu-novosti-donbassa-11727394.html,1,1,Россияне все чаще сдаются в плен – СБУ - УНИАН,il y a 10 heures —,1646355098
ВСУ СДАЮТСЯ,https://ria.ru/20220224/basurin-1774793918.html,2,2,"Украинские военные сдаются, увидев бегство своих ...",il y a 8 jours —,1646355098
ВСУ СДАЮТСЯ,https://www.youtube.com/watch?v=BJ9u_Od4F_k,3,3,Русские солдаты сдаются в плен ВСУ! Война в Украине!,il y a 5 jours —,1646355098
ВСУ СДАЮТСЯ,https://www.segodnya.ua/regions/others/v-sumskoy-oblasti-okkupanty-otkazyvayutsya-voevat-s-vsu-sdayutsya-ili-begut-k-granice-1606256.html,4,4,В Сумской области оккупанты отказываются воевать с ВСУ,il y a 2 jours —,1646355098
ВСУ СДАЮТСЯ,https://lenta.ru/news/2022/03/03/dnr_polon/,5,5,В ДНР сообщили о сдаче в плен десятков военнослужащих ...Минобороны сообщило о сдаче в плен 150 украинских ...,il y a 16 heures — il y a 7 jours —,1646355098
ВСУ СДАЮТСЯ,https://www.vesti.ru/article/2682021,6,6,"Не хотели идти туда, где безвластие: бойцы ВСУ бросают ...",il y a 6 jours —,1646355098
ВСУ СДАЮТСЯ,https://sud.ua/ru/news/publication/230948-rossiyskie-okkupanty-sdayutsya-v-plen-podrazdeleniyami-vsu,7,7,Российские оккупанты сдаются в плен подразделениями,il y a 3 jours —,1646355098
ВСУ СДАЮТСЯ,https://www.5-tv.ru/news/377411/voennosluzasie-vsu-obasnili-pocemu-resili-sdatsa-vplen-vdonbasse/,8,8,Видео: почему военнослужащих ВСУ массово сдаются в плен,il y a 8 jours —,1646355098
ВСУ СДАЮТСЯ,https://regnum.ru/news/3519874.html,9,9,За сутки 110 украинских военных сдались в плен - ИА ...,il y a 3 jours —,1646355098
ВСУ СДАЮТСЯ,https://www.pravda.com.ua/rus/news/2022/02/27/7326475/,10,10,"Харьков под контролем ВСУ, идет зачистка, оккупанты ...",il y a 5 jours —,1646355098
ВСУ СДАЮТСЯ,https://www.unn.com.ua/ru/news/1966356-sbu-nastupalniy-kharakter-rosiyskikh-okupantiv-spovilnivsya-viyskovi-vse-chastishe-zdayutsya-v-polon,11,11,СБУ: наступательный характер российских оккупантов ...,il y a 10 heures —,1646355098
ВСУ СДАЮТСЯ,https://tsn.ua/ru/ukrayina/golodnye-zamerzshie-i-demoralizovannye-pod-harkovom-okkupanty-sdalis-v-plen-vsu-video-1992970.html,12,12,под Харьковом кафиры сдались в плен ВСУ (видео) - ТСН,il y a 3 jours —,1646355098
ВСУ СДАЮТСЯ,https://www.ukr.net/news/details/russianaggression/90106552.html,13,13,В Сумской области оккупанты отказываются воевать с ВСУТемпы наступления российских войск замедлились ...,il y a 2 jours — il y a 7 heures —,1646355098
ВСУ СДАЮТСЯ,https://nv.ua/ukraine/events/kak-sdatsya-v-plen-instrukciya-dlya-rossiyskih-i-belarusskih-voennyh-50221745.html,14,14,Как сдаться в плен — инструкция для российских и ...,il y a 1 jour —,1646355098
ВСУ СДАЮТСЯ,https://www.rbc.ru/rbcfreenews/621b15889a7947611c1ffc8b,15,15,Минобороны России сообщило о сдаче ракетного полка ...,il y a 5 jours —,1646355098
ВСУ СДАЮТСЯ,https://ru.interfax.com.ua/news/general/806380.html,16,16,Российские военные все чаще сдаются в плен – СБУ,il y a 10 heures —,1646355098
ВСУ СДАЮТСЯ,https://www.ukrinform.ru/rubric-ato/3419209-voennye-rf-sdautsa-v-plen-celymi-organizovannymi-gruppami.html,17,17,Военные РФ сдаются в плен целыми организованными ...,il y a 9 heures —,1646355098
ВСУ СДАЮТСЯ,https://www.tiktok.com/discover/%D0%B2%D1%81%D1%83-%D1%81%D0%B4%D0%B0%D1%8E%D1%82%D1%81%D1%8F,18,18,Discover всу сдаются 's popular videos | TikTok,"Discover short videos related to всу сдаются on TikTok. Watch popular content from the following creators: Bessmertni_News(@bessmertni_news), ...",1646355098
ВСУ СДАЮТСЯ,https://prm.ua/ru/okkupant-yz-rf-vse-chashche-sdaiutsia-v-plen-tsel-my-hruppamy-sbu/,19,19,Оккупанты из РФ все чаще сдаются в плен целыми группами,il y a 10 heures —,1646355098
ВСУ СДАЮТСЯ,https://iz.ru/1298913/2022-03-01/v-lnr-rasskazali-o-zhelanii-ukrainskogo-generala-sdatsia-v-plen,20,20,В ЛНР рассказали о желании украинского генерала ...,il y a 2 jours —,1646355098
ВСУ СДАЮТСЯ,https://tsargrad.tv/news/vsu-sdajutsja-azov-ubivaet-specoperacija-rossii-na-ukraine-prjamaja-transljacija_502594,21,21,"ВСУ сдаются, ""Азов"" убивает. Спецоперация России на ...",il y a 5 jours —,1646355098
ВСУ СДАЮТСЯ,https://medialeaks.ru/2402aad-str-boi-kharkiv/,22,22,"Как солдаты РФ и Украины ведут бой из танков, а ВСУ ...",il y a 8 jours —,1646355098
ВСУ СДАЮТСЯ,https://ukrainenews.fakty.ua/ru/397685-sdayutsya-v-plen-celymi-gruppami-v-sbu-rasskazali-kak-izmenilsya-nastupatelnyj-harakter-ord-okkupantov,23,23,Солдаты и офицеры армии России сдаются в плен группами,il y a 9 heures —,1646355098
ВСУ СДАЮТСЯ,https://news.liga.net/region_news/news/vsu-polnostyu-kontroliruyut-harkov-idet-zachistka-vrag-sdaetsya-i-brosaet-tehniku-oga,24,24,"ВСУ полностью контролируют Харьков: идет зачистка, враг ...",il y a 5 jours —,1646355098
ВСУ СДАЮТСЯ,https://delo.ua/ru/society/xarkov-polnostyu-pod-kontrolem-vsu-oleg-sinegubov-393502/,25,25,"Харьков полностью под контролем ВСУ, — Олег Синегубов",il y a 5 jours —,1646355098
ВСУ СДАЮТСЯ,https://www.5.ua/ru/rehyoni/nastupatelnii-kharakter-rossyiskykh-okkupantov-zamedlylsia-vrahy-vse-chashche-sdaiutsia-v-plen-270061.html,26,26,Наступательный характер российских оккупантов ... - 5 канал,il y a 8 heures —,1646355098
ВСУ СДАЮТСЯ,https://www.dsnews.ua/politics/nastupalniy-harakter-rosiyskih-okupantiv-spovilnivsya-sbu-03032022-453662,27,27,Оккупанты все чаще сдаются в плен — СБУ — DSnews.ua,il y a 10 heures —,1646355098
ВСУ СДАЮТСЯ,https://news.obozrevatel.com/society/po-vsej-ukraine-berut-v-plen-rossijskih-okkupantov-nekotoryie-sdayutsya-sami-foto-i-video.htm,28,28,По всей Украине берут в плен российских оккупантов ...,il y a 5 jours —,1646355098
ВСУ СДАЮТСЯ,https://gordonua.com/news/war/harkov-polnostyu-pod-kontrolem-vsu-rossiyskie-okkupanty-sdayutsya-gruppami-glava-oga-1597398.html,29,29,"Харьков полностью под контролем ВСУ, российские ...",il y a 5 jours —,1646355098
ВСУ СДАЮТСЯ,https://yandex.ru/news/story/Glava_DNR_Pushilin_zayavil_chto_mnogie_voennosluzhashhie_VSU_sdayut_oruzhie--2bf40ad67fe1400ba53b6377901576d4?lang=ru&rubric=index&fan=1&stid=__7A4heNSSk0FerbJufn&t=1645777315&tt=true&persistent_id=182333093&story=4049202b-37a1-5c86-9be6-0c7cd6226917,30,30,Глава ДНР Пушилин заявил об отказе украинских ... - Яндекс,Множество военнослужащих Вооруженных сил Украины (ВСУ) осознали бессмысленность сопротивления и сдают оружие в ходе российской военной операции в Донбассе.,1646355098
ВСУ СДАЮТСЯ,https://ru.slovoidilo.ua/2022/03/03/novost/bezopasnost/nastupatelnyj-xarakter-okkupantov-zamedlilsya-voennye-chashhe-sdayutsya-plen-sbu,31,31,Война с РФ – наступательный характер замедлился,il y a 10 heures —,1646355098
ВСУ СДАЮТСЯ,https://nikvesti.com/news/politics/242491,32,32,Наступательный характер действий оккупантов ... - НикВести,il y a 7 heures —,1646355098
ВСУ СДАЮТСЯ,https://focus.ua/voennye-novosti/508090-rossiyskie-voennye-dezertiruyut-i-sdayutsya-v-plen-genshtab-otchitalsya-o-situacii-v-ukraine,33,33,Российские военные дезертируют и сдаются в плен - Фокус,il y a 3 jours —,1646355098
ВСУ СДАЮТСЯ,https://inshe.tv/nikolaev/2022-03-01/661542/,34,34,Под Баштанкой двое русских солдат сдались в плен ВСУ,il y a 2 jours —,1646355098
